Video,Start,End,gsrStart,gsrEnd,ValenceStart,ValenceEnd,ArousalStart,ArousalEnd
6,1063484,1068484,15.648,15.325,5.0,5.0,5.0,5.0
6,1068484,1073484,15.325,15.033,5.0,6.05,5.0,4.554
6,1073484,1078485,15.033,15.116,6.05,6.007,4.554,4.554
6,1078485,1083484,15.116,15.242,6.007,6.004,4.554,4.469
6,1083484,1088485,15.242,15.112,6.004,6.651,4.469,4.627
6,1088485,1093485,15.112,14.907,6.651,6.351,4.627,4.911
6,1093485,1098486,14.907,14.659,6.351,6.351,4.911,4.826
6,1098486,1103486,14.659,14.513,6.351,6.351,4.826,5.019
6,1103486,1108487,14.513,14.174,6.351,6.351,5.019,5.0
6,1108487,1113487,14.174,13.992,6.351,6.999,5.0,5.067
6,1113487,1118487,13.992,13.772,6.999,7.233,5.067,5.432
6,1118487,1123487,13.772,13.531,7.233,7.222,5.432,5.426
6,1123487,1128488,13.531,13.35,7.222,7.18,5.426,5.401
6,1128488,1133488,13.35,13.196,7.18,7.165,5.401,5.374
6,1133488,1138488,13.196,12.967,7.165,7.14,5.374,5.349
6,1138488,1143488,12.967,12.829,7.14,6.944,5.349,5.26
6,1143488,1148489,12.829,12.683,6.944,6.905,5.26,5.246
6,1148489,1153488,12.683,12.384,6.905,6.883,5.246,5.228
6,1153488,1158489,12.384,12.195,6.883,6.786,5.228,5.224
6,1158489,1163489,12.195,12.159,6.786,6.885,5.224,5.054
6,1163489,1168490,12.159,11.99,6.885,6.487,5.054,5.175
6,1168490,1173489,11.99,11.875,6.487,6.61,5.175,5.155
6,1173489,1178490,11.875,11.694,6.61,6.58,5.155,5.132
6,1178490,1183490,11.694,11.56,6.58,6.628,5.132,5.369
6,1183490,1188490,11.56,11.41,6.628,6.894,5.369,5.554
6,1188490,1193490,11.41,11.367,6.894,6.886,5.554,5.554
6,1193490,1198491,11.367,11.209,6.886,6.881,5.554,5.554
6,1198491,1203491,11.209,11.118,6.881,6.874,5.554,5.55
