Window,Mean Valence,Max Valence,Min Valence,Median Valence,Mean Arousal,Max Arousal,Min Arousal,Median Arousal
1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
3,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
4,5.004910891089109,5.031,5.0,5.0,5.082445544554456,5.51,5.0,5.0
5,5.3241287128712855,5.709,5.031,5.465,5.495465346534655,5.548,5.423,5.501
6,5.601435643564354,5.728,5.506,5.585,5.516712871287128,5.548,5.511,5.515
7,5.906386138613862,6.051,5.728,5.888,5.504910891089108,5.601,5.437,5.511
8,5.999792079207921,6.059,5.884,6.007,5.423712871287128,5.437,5.264,5.428
9,6.100960396039606,6.205,5.89,6.09,4.799069306930694,5.264,4.562,4.668
10,6.108029702970297,6.205,6.043,6.048,4.6483564356435645,4.683,4.552,4.671
11,5.989465346534652,6.07,5.91,5.976,4.4502277227722775,4.552,4.325,4.457
12,5.893564356435646,5.91,5.893,5.893,4.313405940594059,4.325,4.232,4.315
13,5.764445544554456,5.893,5.648,5.748,4.241584158415843,4.25,4.221,4.246
14,5.776584158415842,5.797,5.658,5.794,4.399920792079208,4.6,4.25,4.388
15,5.842920792079205,5.939,5.658,5.881,4.832316831683168,5.065,4.6,4.735
16,6.005138613861386,6.367,5.934,5.939,5.0204158415841595,5.065,4.879,5.065
17,6.668871287128713,6.996,6.367,6.647,4.86861386138614,4.952,4.856,4.856
18,7.056702970297026,7.059,6.996,7.059,4.951999999999999,4.952,4.952,4.952
19,7.043356435643563,7.059,7.015,7.059,5.073821782178219,5.345,4.937,4.952
20,7.04052475247525,7.128,6.972,7.015,5.065099009900989,5.339,4.928,5.095
21,7.111267326732675,7.294,7.102,7.102,4.92789108910891,4.928,4.92,4.928
22,7.085940594059408,7.383,6.768,7.128,4.920000000000002,4.92,4.92,4.92
23,6.7057623762376215,6.768,6.558,6.756,4.929108910891091,4.958,4.92,4.92
24,6.2005544554455465,6.558,6.017,6.223,4.958,4.958,4.958,4.958
25,5.887693069306931,6.017,5.692,5.918,4.807108910891089,4.958,4.659,4.723
26,5.600939393939394,5.692,5.514,5.592,4.554989898989899,4.659,4.374,4.589
27,5.501673267326734,5.514,5.499,5.499,4.528069306930693,4.682,4.364,4.54
28,5.584049504950497,5.694,5.499,5.57,4.405118811881189,4.705,4.219,4.355
29,5.5732574257425735,5.597,5.552,5.577,4.434663366336635,4.592,4.249,4.474
30,5.606732673267323,5.608,5.597,5.608,4.498158415841586,4.576,4.298,4.539
31,5.591722772277227,5.608,5.52,5.608,4.618207920792078,4.686,4.576,4.598
32,5.836249999999998,6.276,5.431,5.911,4.32116,4.686,4.148,4.23
