Subject,Mean Valence,Max Valence,Min Valence,Median Valence,Mean Arousal,Max Arousal,Min Arousal,Median Arousal
1,6.829267026702671,7.943,5.0,6.953,4.644572157215722,5.227,3.812,4.747
10,4.962092109210921,5.089,4.782,4.984,3.702259825982598,5.031,3.142,3.77
11,5.2728787878787875,5.884,3.983,5.235,3.9506765676567652,5.244,3.317,3.849
12,5.176529252925292,6.563,4.994,5.035,3.894982148214822,5.0,3.59,3.739
13,5.2201293129312925,6.015,5.0,5.0,4.986317731773179,5.552,3.933,5.057
14,5.37687206739998,6.873,5.0,5.058,4.737924466685189,5.183,4.047,5.0
15,4.960285066350385,6.379,4.015,5.0,4.821663913985149,5.514,4.049,4.8420000000000005
16,4.963491149114912,5.023,4.929,4.957,3.3287257725772577,5.016,2.767,2.906
17,4.893997599759976,5.666,3.513,5.048,3.3849360936093604,3.916,2.901,3.485
18,5.950408146283378,7.383,5.0,5.890499999999999,4.830954869986998,5.601,4.148,4.888
19,5.0,5.0,5.0,5.0,5.007259225922593,5.144,5.0,5.0
2,5.025565220201868,5.179,4.916,5.0,3.957513168695696,5.0,3.711,3.768
20,6.178503579329726,7.12,5.0,6.1215,4.764150174955033,5.642,3.42,5.0
21,4.922304530453045,5.13,4.866,4.896,2.74922396939694,5.367,1.357,2.586
22,5.115034962871287,5.983,3.956,5.0,4.95137469059406,5.461,4.425,5.0
23,4.092205058505852,5.076,2.686,4.721,3.5647394509450945,5.019,2.677,3.486
24,5.014595520421607,5.131,4.885,5.018,2.5209205627705633,5.0,1.557,2.127
25,4.987267011138615,5.194,4.808,5.0,3.4986624597134326,5.0,1.819,3.174
26,5.19169431930693,6.433,5.0,5.0,4.7008624999999995,5.062,3.919,5.0
27,5.121258464971498,5.221,4.911,5.069,3.8534548952707777,5.0,3.129,3.728
28,4.7371042291729175,5.07,3.695,4.994,4.530608363961395,5.284,2.743,5.0
29,5.11585891089109,5.558,5.0,5.0,4.937694136757425,5.129,4.494,5.0
3,5.265970297029703,5.742,4.935,5.0,4.603726672667267,5.023,4.009,4.563
30,6.104939093909391,6.661,5.0,6.341,4.941071257125713,5.211,4.618,4.954
4,5.848388704079246,7.327,4.88,5.862,4.575719928003246,6.477,0.5,5.736
5,5.547914491449144,6.509,4.791,5.549,3.8307701770177025,5.043,2.699,3.824
6,3.940536716171617,5.0,3.145,3.616,3.6817299020839585,5.021,2.535,3.367
7,5.07714304335408,5.487,4.851,5.058,3.8375883235326085,5.054,2.465,3.6225
8,6.741159615961596,7.182,4.699,6.926,2.5013234323432343,5.0,2.09,2.36
9,5.2599863202736294,5.704,5.0,5.171749999999999,3.462812397079599,5.0,3.092,3.252
