Subject,Mean Valence,Max Valence,Min Valence,Median Valence,Mean Arousal,Max Arousal,Min Arousal,Median Arousal
1,8.33251575456053,9.074,7.224,8.621,6.2430978441127705,6.783,5.921,6.196
10,6.30502487562189,6.309,6.296,6.309,5.094203980099502,5.135,5.029,5.096
11,5.91275024875622,6.508,5.0,6.046,5.059460696517413,5.434,4.795,5.011
12,7.106159203980099,7.25,6.792,7.1555,7.167736318407959,7.568,6.358,7.2705
13,8.338286995714496,9.059,7.503,8.199,4.869792936308556,5.218,4.528,4.906
14,6.753878938640132,7.18,5.95,7.178,5.437356550580431,5.677,5.065,5.675
15,6.04965562339816,6.804,4.809,6.2605,5.225045567616462,6.171,4.789,5.0634999999999994
16,8.797283582089552,9.429,6.868,9.285,5.6579570298507464,5.998,4.841,5.822
17,5.710588059701492,6.374,4.824,5.696,4.73499104477612,5.96,3.552,4.918
18,6.384701492537314,7.115,5.047,6.884,5.710131011608624,6.008,5.539,5.663
19,5.0250580431177445,8.612,1.883,4.6259999999999994,5.980692371475954,7.571,5.067,5.7705
2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
20,5.369815920398009,6.015,4.889,5.12,5.984771144278608,6.916,5.0,5.953
21,5.217395024875621,5.443,5.153,5.165,5.576830845771143,6.025,5.364,5.585
22,8.153392716619946,9.5,5.0,8.205,6.107538187236407,6.508,5.0,6.103
23,5.656254726368159,8.352,5.0,5.0,4.983626865671642,5.0,4.783,5.0
24,6.651199004975124,7.126,5.0,7.036,5.10899303482587,5.266,4.437,5.09
25,4.332196517412935,5.075,2.023,5.0065,5.897034825870647,6.563,3.81,6.1370000000000005
26,8.564953565505805,9.155,5.0,9.12,5.241150912106136,5.69,4.839,5.327
27,6.32183416252073,6.679,6.177,6.238,5.497834162520729,6.181,5.198,5.21
28,5.885498756218906,7.015,5.0,5.7219999999999995,5.220912935323383,5.865,4.74,5.123
29,5.547235798659763,6.429,5.0,5.288,5.063851164280638,5.372,5.0,5.011
3,7.799341414356787,8.459,5.0,7.815,6.041584150675194,6.789,4.88,6.391
30,6.872997512437811,7.845,6.35,6.788500000000001,6.965685323383084,9.013,5.321,7.1365
4,6.309938329779674,7.56,5.0,5.784,5.746774850746268,6.973,4.679,5.931
5,6.294506218905472,6.909,5.0,6.6525,5.613898009950249,5.96,4.602,5.718999999999999
6,6.497771434494195,6.859,6.055,6.535,5.8075296517412935,6.008,5.583,5.885
7,6.306185737976782,8.046,5.0,6.137,5.122605306799336,5.565,4.971,5.15
8,7.27264510779436,8.635,5.649,7.439,7.4538242122719724,8.814,6.097,7.858
9,6.149210199004975,7.689,5.0,6.0195,4.2662164179104485,5.167,3.704,4.1635
