Subject,Mean Valence,Max Valence,Min Valence,Median Valence,Mean Arousal,Max Arousal,Min Arousal,Median Arousal
1,5.313345297029703,5.774,4.951,5.188,3.300617574257426,5.031,1.73,3.138
10,6.0952536620100375,6.958,4.962,6.729,3.686882448347575,5.08,3.113,3.317
11,3.8351245818984077,5.014,2.42,3.7969999999999997,2.119219849927022,5.0,1.242,1.6844999999999999
12,5.028484857992843,5.146,4.917,5.036,3.3479249697857107,5.0,2.634,2.901
13,4.0982648514851485,5.0,3.259,3.8295000000000003,4.823389099868891,5.132,4.183,4.845
14,4.979771206287295,5.036,4.924,4.964,4.011121287128713,5.0,3.584,3.9025
15,6.438968223020932,7.39,5.0,6.5965,4.970506849315068,6.23,3.668,5.0634999999999994
16,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
17,3.786266962968355,5.0,3.664,3.6849999999999996,4.298480244612697,5.139,3.578,4.0455000000000005
18,5.444864850354899,5.962,5.0,5.5145,4.385994959084949,5.0,3.611,4.331
19,4.844100247524753,5.0,4.412,5.0,5.116868399339934,5.228,5.0,5.1305
2,5.251,5.941,5.0,5.17,4.363575155974502,5.026,3.883,4.144
20,5.231279055280529,5.451,4.557,5.234,4.511172687018702,5.15,4.061,4.4625
21,4.444732310001833,5.0,4.267,4.3505,2.98426332416575,5.093,1.981,2.558
22,5.07927792779278,5.973,4.679,5.0,4.910916666666667,5.05,4.345,5.0
23,4.139954892789749,5.0,3.617,3.7645,3.6620818123479015,5.0,3.178,3.503
24,4.225373762376237,5.056,3.736,3.776,4.13434546983865,5.0,3.676,3.691
25,4.021488494054885,5.236,2.967,4.0335,2.815421617161716,5.0,1.972,2.58
26,4.06535302793978,5.0,3.014,3.7605000000000004,2.83360102739726,5.029,1.76,2.3360000000000003
27,5.125740924092409,5.422,4.872,5.1465,2.6069960667299608,5.0,1.595,2.271
28,4.650028855282788,5.039,4.057,4.515,3.939649469912745,5.0,2.798,3.5869999999999997
29,5.0,5.0,5.0,5.0,5.0079220297029705,5.035,5.0,5.0
3,5.000007516162575,5.805,4.766,4.986,2.099835396039604,5.078,1.327,1.494
30,5.54397503277725,6.089,5.0,5.35,4.759261138613861,5.135,4.43,4.97
4,5.567953174484114,6.509,4.883,5.5600000000000005,5.991110498021634,6.513,2.844,6.3335
5,5.324821183145712,6.138,4.868,5.059,1.8031018920385187,5.0,0.509,0.8815
6,3.4649743193069305,5.0,2.998,3.108,3.6418186422808945,5.0,2.693,3.516
7,5.216018622112212,5.951,5.0,5.2135,4.999049500825083,5.052,4.933,5.0
8,5.695934818481848,6.628,3.233,5.8,3.9397945488041954,7.005,2.319,3.2485
9,5.204965126135902,5.413,5.0,5.2145,4.0681195691486955,5.036,3.383,3.8529999999999998
