Window,Mean Valence,Max Valence,Min Valence,Median Valence,Mean Arousal,Max Arousal,Min Arousal,Median Arousal
1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
3,4.981960396039603,5.032,4.924,5.0,5.425217821782176,5.949,5.0,5.617
4,5.026702970297029,5.032,5.0,5.032,5.750950495049505,5.956,5.0,5.949
5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
6,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
7,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
8,4.988405940594058,5.0,4.936,5.0,5.1342574257425735,5.852,5.0,5.0
9,4.964742574257426,5.009,4.936,4.967,6.193346534653465,6.515,5.852,6.171
10,5.042821782178217,5.074,5.009,5.034,6.572732673267327,6.607,6.515,6.557
11,5.04130693069307,5.096,4.899,5.063,6.635435643564356,6.911,6.428,6.517
12,5.111475247524754,6.672,4.785,5.063,6.911564356435641,8.993,6.428,6.428
13,5.257316831683169,5.343,5.167,5.29,8.28380198019802,8.973,7.573,8.469
14,5.167000000000001,5.167,5.167,5.167,7.676792079207921,7.876,7.573,7.573
15,5.166455445544554,5.167,5.162,5.167,7.876,7.876,7.876,7.876
16,5.131118811881189,5.162,5.118,5.129,7.260722772277232,7.876,7.022,7.046
17,5.128999999999999,5.129,5.129,5.129,7.030712871287126,7.045,7.022,7.03
18,4.771663366336632,5.129,4.479,4.645,7.157732673267326,7.317,6.805,7.169
19,4.915554455445545,5.0,4.686,5.0,5.597722772277226,6.805,5.0,5.097
20,5.0108910891089105,5.07,4.946,5.0,5.693386138613863,7.105,5.0,5.0
21,5.068782178217821,5.07,5.067,5.068,7.104287128712873,7.105,7.102,7.105
22,5.063673267326732,5.067,5.058,5.064,7.101247524752475,7.102,7.101,7.101
23,5.049415841584159,5.058,5.048,5.049,7.101,7.101,7.101,7.101
24,4.971851485148514,5.048,4.636,5.017,8.358762376237625,8.869,7.101,8.581
25,5.017801980198019,5.039,4.991,5.039,7.936772277227723,8.215,7.518,8.135
26,5.004465346534652,5.054,4.991,4.991,7.235643564356435,7.518,6.577,7.486
27,5.036960396039604,5.054,5.036,5.036,7.579574257425743,7.657,6.577,7.652
28,5.0360000000000005,5.036,5.036,5.036,7.642950495049508,7.646,7.642,7.642
29,5.0360000000000005,5.036,5.036,5.036,7.642000000000002,7.642,7.642,7.642
30,5.007585858585859,5.036,4.997,4.997,7.318959595959596,7.642,7.063,7.212
31,4.997000000000001,4.997,4.997,4.997,7.035623762376237,7.061,7.021,7.032
32,4.997000000000001,4.997,4.997,4.997,6.987564356435643,7.021,6.602,7.005
33,4.997000000000001,4.997,4.997,4.997,6.094653465346538,6.602,6.017,6.017
34,4.997000000000001,4.997,4.997,4.997,6.017000000000003,6.017,6.017,6.017
35,4.997000000000001,4.997,4.997,4.997,6.017000000000003,6.017,6.017,6.017
36,4.913821782178218,4.997,4.859,4.859,6.882930693069304,7.434,6.017,7.303
37,4.878871287128714,4.911,4.859,4.859,7.667039603960398,7.964,7.434,7.526
38,4.9283663366336645,4.97,4.911,4.911,7.86038613861386,7.916,7.809,7.887
39,5.035039603960397,5.051,4.97,5.051,7.27262376237624,7.809,7.129,7.129
40,5.050999999999998,5.051,5.051,5.051,7.128999999999999,7.129,7.129,7.129
