Subject,Mean Valence,Max Valence,Min Valence,Median Valence,Mean Arousal,Max Arousal,Min Arousal,Median Arousal
1,1.7551269801980198,5.254,0.5,0.5,8.310896782178217,9.5,5.0,8.9375
10,3.8359863861386136,5.133,1.97,4.3815,6.754432178217823,8.394,3.449,7.104
11,5.0556974612845895,5.852,4.045,5.0525,6.4767362147753245,7.417,5.0,6.644500000000001
12,4.132072014701469,5.201,2.837,4.583,6.662629105410541,8.927,5.0,6.704
13,2.9539827784653463,5.0,0.5,2.7984999999999998,7.058016082920792,9.136,5.0,7.2565
14,5.019776280128013,6.672,4.479,5.0,6.7046348809881,8.993,5.0,7.039
15,4.817686138613861,7.813,2.305,5.04,7.307732178217821,9.5,2.517,7.1305
16,2.3675479914629216,5.074,0.5,1.4740000000000002,7.721857130430391,9.271,5.0,8.469999999999999
17,4.015703097101503,5.0,3.133,3.779,6.886042824444087,8.271,3.714,7.684
18,5.141606503712871,5.855,4.102,5.119,5.94511818069307,7.086,5.0,5.822
19,1.9035360198019802,5.0,0.5,0.5,7.842731935643563,9.5,3.926,9.5
2,2.5221103705513004,5.17,0.868,2.185,8.043497784082202,9.092,5.0,8.274
20,3.197958527989338,5.304,1.464,2.492,7.774006149974613,9.5,5.0,8.468499999999999
21,4.745965280553055,5.041,4.191,4.848,7.075420619365508,8.562,5.0,7.145
22,1.6688774752475246,5.0,0.5,0.8855,6.491385643564357,9.479,4.833,6.4925
23,4.6090029702970305,5.015,3.378,4.809,6.944464386138614,8.483,5.0,7.4
24,3.5488468316831687,5.17,2.021,2.977,6.274636825495049,7.98,5.0,6.5315
25,3.3932247834158416,6.256,0.5,2.3095,7.537750154702971,9.5,4.044,8.246500000000001
26,3.5886869917575934,5.009,2.409,3.671,7.37727924265003,8.314,5.0,7.945
27,2.25003208583088,5.0,0.5,1.7890000000000001,6.852742166079446,9.5,4.581,6.855
28,4.619645049504951,5.921,3.399,4.61,7.202081049796156,9.399,5.0,7.7615
29,4.386184955846936,5.005,3.627,4.3740000000000006,5.466819202568905,6.189,4.493,5.412
3,2.676929185643564,5.0,1.215,2.04,8.441204665841585,9.5,5.0,8.743500000000001
30,1.7516324480198022,5.437,0.5,0.5,7.401354923267325,9.5,5.0,7.066000000000001
4,1.540083168316832,5.0,0.5,0.7865,7.357780445544554,9.5,4.891,7.102
5,1.8588793185252732,5.035,0.5,0.87925,7.579819760812924,9.5,1.023,8.8505
6,3.8903361386138613,5.061,2.126,3.883,6.329868316831684,7.134,5.0,6.835
7,3.9215920668316833,5.102,2.325,4.138,7.370950445544554,9.5,5.0,8.045
8,1.4784967698019806,5.0,0.5,0.537,8.573804207920793,9.5,5.0,9.5
9,2.9597397132754093,5.0,1.723,2.668,6.197991466104263,7.28,5.0,6.066
