Window,Mean Valence,Max Valence,Min Valence,Median Valence,Mean Arousal,Max Arousal,Min Arousal,Median Arousal
1,5.0,5.0,5.0,5.0,5.081009900990099,5.247,5.0,5.038
2,4.58110891089109,5.0,3.821,4.846,5.222811881188118,5.299,5.0,5.268
3,3.777643564356435,3.988,3.391,3.821,5.109,5.15,5.095,5.095
4,4.067594059405942,4.093,3.988,4.081,5.095000000000001,5.095,5.095,5.095
5,3.87108910891089,4.104,3.338,4.093,5.325306930693067,5.753,5.095,5.167
6,3.4628316831683166,3.47,3.461,3.461,5.727653465346535,5.855,5.62,5.717
7,3.461,3.461,3.461,3.461,5.697000000000002,5.697,5.697,5.697
8,3.856425742574257,4.745,3.461,3.478,5.859871287128713,6.298,5.695,5.758
9,5.095514851485149,5.143,4.745,5.104,6.322178217821786,6.325,6.298,6.325
10,5.12009900990099,5.436,4.982,5.066,6.341683168316834,6.402,6.325,6.325
11,5.4369900990099,5.437,5.436,5.437,6.3999108910891085,6.402,6.399,6.399
12,4.642039603960396,5.437,3.067,5.048,6.8741782178217825,8.691,6.399,6.399
13,1.6123069306930695,3.067,1.129,1.473,9.418336633663365,9.5,8.691,9.5
14,1.1468910891089106,1.149,1.132,1.148,9.5,9.5,9.5,9.5
15,1.1273168316831683,1.154,0.976,1.147,9.492772277227722,9.5,9.394,9.5
16,0.6803069306930692,0.977,0.5,0.5,9.043683168316832,9.394,8.798,9.054
17,0.5484752475247526,0.684,0.5,0.5,8.687623762376235,9.271,8.309,8.647
18,0.5794950495049506,0.791,0.5,0.5,8.452019801980196,8.875,7.288,8.805
19,0.8310900000000001,0.839,0.791,0.839,6.28789,7.288,5.554,6.1955
20,0.8570297029702972,0.858,0.839,0.858,5.160366336633663,5.546,5.062,5.066
21,0.8100495049504949,0.858,0.5,0.858,5.140940594059405,5.822,5.062,5.062
22,0.5,0.5,0.5,0.5,6.256871287128711,6.372,5.822,6.299
23,0.5,0.5,0.5,0.5,6.466069306930692,6.728,6.372,6.446
24,0.5,0.5,0.5,0.5,9.163564356435643,9.5,6.728,9.5
25,0.5,0.5,0.5,0.5,9.5,9.5,9.5,9.5
26,0.5,0.5,0.5,0.5,9.5,9.5,9.5,9.5
27,0.5,0.5,0.5,0.5,8.232435643564354,9.5,7.862,7.928
28,0.5,0.5,0.5,0.5,7.861999999999997,7.862,7.862,7.862
29,0.5,0.5,0.5,0.5,7.739435643564358,7.862,7.277,7.862
30,0.5,0.5,0.5,0.5,7.98381188118812,9.297,7.481,7.618
31,0.5,0.5,0.5,0.5,8.634306930693068,9.248,7.905,8.686
32,0.5,0.5,0.5,0.5,7.342801980198021,7.905,7.064,7.067
33,0.5,0.5,0.5,0.5,7.065000000000001,7.065,7.065,7.065
34,0.5,0.5,0.5,0.5,7.065000000000001,7.065,7.065,7.065
35,0.5,0.5,0.5,0.5,7.072514851485149,7.207,7.065,7.065
36,0.5,0.5,0.5,0.5,7.978990099009901,8.187,7.207,8.045
37,0.5,0.5,0.5,0.5,9.452158415841584,9.5,8.187,9.5
38,0.5,0.5,0.5,0.5,9.5,9.5,9.5,9.5
39,0.5,0.5,0.5,0.5,9.5,9.5,9.5,9.5
40,0.5,0.5,0.5,0.5,9.5,9.5,9.5,9.5
