Video,Start,End,ValenceStart,ValenceEnd,ArousalStart,ArousalEnd,gsrStart,gsrEnd,sktStart,sktEnd,bvpStart,bvpEnd,rspStart,rspEnd,emg_zygoStart,emg_zygoEnd,emg_coruStart,emg_coruEnd,emg_trapStart,emg_trapEnd
3,221547,226548,5.0,5.0,5.0,5.0,22.922,22.954,29.431,29.424,37.64,37.707,32.769,32.024,5.317,14.434,7.247,6.097,6.467,6.22
3,226548,231548,5.0,5.004,5.0,3.289,22.954,22.989,29.424,29.431,37.707,36.429,32.024,32.924,14.434,6.672,6.097,6.22,6.22,6.302
3,231548,236548,5.004,5.004,3.289,2.994,22.989,22.84,29.431,29.417,36.429,37.504,32.924,32.789,6.672,5.481,6.22,7.001,6.302,6.508
3,236548,241548,5.004,5.014,2.994,2.307,22.84,22.796,29.417,29.417,37.504,37.0,32.789,32.711,5.481,8.767,7.001,6.097,6.508,6.302
3,241548,246549,5.014,5.014,2.307,1.828,22.796,22.717,29.417,29.393,37.0,35.499,32.711,32.614,8.767,5.768,6.097,6.59,6.302,9.547
3,246549,251548,5.014,5.014,1.828,1.696,22.717,22.595,29.393,29.386,35.499,37.398,32.614,31.956,5.768,5.81,6.59,6.179,9.547,6.385
3,251548,256549,5.014,4.417,1.696,1.677,22.595,22.489,29.386,29.365,37.398,36.816,31.956,32.295,5.81,5.81,6.179,6.22,6.385,6.015
3,256549,261549,4.417,4.145,1.677,1.613,22.489,22.382,29.365,29.344,36.816,35.102,32.295,32.547,5.81,5.276,6.22,6.549,6.015,6.713
3,261549,266550,4.145,3.82,1.613,1.673,22.382,22.52,29.344,29.34,35.102,35.925,32.547,33.302,5.276,5.235,6.549,6.837,6.713,6.467
3,266550,271549,3.82,3.82,1.673,1.673,22.52,22.295,29.34,29.316,35.925,35.344,33.302,32.237,5.235,4.824,6.837,6.22,6.467,5.81
3,271549,276550,3.82,3.82,1.673,1.589,22.295,22.244,29.316,29.298,35.344,36.129,32.237,32.682,4.824,4.988,6.22,7.001,5.81,6.302
3,276550,281550,3.82,3.778,1.589,1.242,22.244,22.165,29.298,29.291,36.129,35.499,32.682,32.837,4.988,4.988,7.001,6.795,6.302,6.837
3,281550,286550,3.778,3.774,1.242,1.403,22.165,22.323,29.291,29.263,35.499,35.441,32.837,33.263,4.988,6.467,6.795,7.617,6.837,6.262
3,286550,291550,3.774,3.774,1.403,1.284,22.323,22.173,29.263,29.263,35.441,36.206,33.263,33.321,6.467,4.824,7.617,7.534,6.262,6.056
3,291550,296551,3.774,3.266,1.284,1.323,22.173,22.035,29.263,29.232,36.206,34.715,33.321,33.031,4.824,4.66,7.534,6.426,6.056,12.791
3,296551,301551,3.266,3.266,1.323,1.323,22.035,22.031,29.232,29.214,34.715,35.451,33.031,32.769,4.66,4.619,6.426,6.59,12.791,5.974
3,301551,306551,3.266,3.266,1.323,1.32,22.031,21.956,29.214,29.204,35.451,37.795,32.769,33.544,4.619,6.302,6.59,6.22,5.974,6.22
3,306551,311551,3.266,3.266,1.32,1.32,21.956,21.917,29.204,29.186,37.795,38.841,33.544,33.011,6.302,4.906,6.22,6.056,6.22,6.795
3,311551,316552,3.266,3.266,1.32,1.32,21.917,21.755,29.186,29.169,38.841,35.528,33.011,33.96,4.906,4.66,6.056,7.001,6.795,6.015
3,316552,321551,3.266,2.685,1.32,2.378,21.755,21.684,29.169,29.155,35.528,38.938,33.96,33.96,4.66,4.783,7.001,7.699,6.015,6.343
3,321551,326552,2.685,2.551,2.378,2.807,21.684,21.578,29.155,29.133,38.938,35.615,33.96,33.253,4.783,4.66,7.699,8.479,6.343,6.426
3,326552,331552,2.551,2.52,2.807,2.897,21.578,21.503,29.133,29.105,35.615,37.988,33.253,33.979,4.66,4.455,8.479,6.795,6.426,6.22
3,331552,336553,2.52,2.486,2.897,2.938,21.503,21.491,29.105,29.095,37.988,35.499,33.979,33.573,4.455,4.537,6.795,7.001,6.22,6.262
