Subject,Mean Valence,Max Valence,Min Valence,Median Valence,Mean Arousal,Max Arousal,Min Arousal,Median Arousal
1,8.967084308285553,9.5,5.0,9.348,6.459392806641439,7.629,4.95,6.385
10,5.818615173789042,7.489,5.0,5.0,5.161252333804808,5.45,5.0,5.117
11,5.76660011464052,6.871,5.0,5.874,4.8388990436942,5.35,4.03,4.941
12,6.074301204544418,9.5,4.782,5.0,5.6223909613542,7.326,5.0,5.0
13,7.315078203448573,8.485,5.0,7.291,5.06925289093184,5.69,4.655,5.084
14,6.502723903818953,7.933,5.0,6.843,4.9950441987055845,5.071,4.915,5.0
15,6.637983074964639,7.93,5.0,6.462,5.189990842673963,6.062,4.267,5.086
16,5.857166634254309,9.5,4.854,5.0,4.4882170343691214,5.768,3.921,4.324
17,6.2274259108114896,8.372,5.149,5.726,4.574743461103253,6.525,2.813,4.856
18,5.97828910891089,7.237,5.0,5.93,5.470520509193776,5.85,5.0,5.483
19,5.986672353885926,7.164,5.0,6.208,5.00498106016419,5.086,4.742,5.0
2,4.977465442350687,6.444,3.732,5.067,5.154953602226582,5.752,4.589,5.0
20,6.636172698039688,9.364,5.0,6.508,5.459361810695576,6.898,4.569,5.215
21,4.975549926449788,5.076,4.856,5.0,5.112850738330977,5.994,4.023,5.001
22,5.4893190947666195,7.016,3.058,5.729,6.0530706564333245,7.568,4.681,5.875
23,6.425009135569246,8.671,5.0,6.592,4.984134315271722,5.277,4.731,4.998
24,7.131846269889552,7.84,5.0,7.393,4.992194151205069,5.26,4.147,5.0
25,6.104607729520096,8.0,4.975,6.017,5.3956847703454,6.721,5.0,5.09
26,7.66672367751061,9.281,5.0,8.059,5.594333272041491,6.831,4.715,5.0
27,6.6585711741183795,8.174,5.0,6.526,5.330437228346079,5.853,4.56,5.312
28,5.707397376465757,8.503,4.049,5.0,5.004681283934844,7.458,1.71,5.0
29,5.260993493635079,6.109,5.0,5.0,5.075721640735502,5.428,4.869,5.0
3,6.328797867043847,7.457,5.0,6.11,5.921680222320124,7.133,4.46,6.267
30,6.667099981140971,8.037,5.0,6.929,6.1633018320403465,8.414,4.712,5.45
4,6.516597384048333,7.786,5.0,6.646,6.327733955930701,7.807,4.631,6.47
5,7.359907779349365,9.246,5.0,7.473,5.312441301272983,6.828,4.495,5.111
6,6.100298955148971,7.434,5.0,6.131,5.030351754345942,5.189,4.889,5.016
7,5.381338535024463,6.935,5.0,5.05,5.174516553435203,6.188,4.846,5.0
8,8.270286825825439,9.455,5.0,9.114,5.344883582643978,6.459,3.383,5.544
9,6.406313400556646,7.941,5.0,6.407,3.812913975452845,5.0,2.936,3.63
