Window,Mean Valence,Max Valence,Min Valence,Median Valence,Mean Arousal,Max Arousal,Min Arousal,Median Arousal
1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
3,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
4,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
5,5.357323232323233,5.923,5.0,5.235,4.7636666666666665,5.0,4.569,4.682
6,6.015406250000001,6.021,5.925,6.021,4.755458333333333,4.758,4.717,4.757
7,6.381408163265306,6.656,6.021,6.463,5.108816326530612,5.292,4.758,5.239
8,6.445881188118813,6.463,6.422,6.447,5.217742574257427,5.235,5.215,5.215
9,6.405811881188115,6.422,6.401,6.401,5.215000000000002,5.215,5.215,5.215
10,6.304475247524755,6.401,6.171,6.366,5.215000000000002,5.215,5.215,5.215
11,6.171000000000003,6.171,6.171,6.171,5.215000000000002,5.215,5.215,5.215
12,6.171000000000003,6.171,6.171,6.171,5.193831683168317,5.215,5.188,5.188
13,6.171000000000003,6.171,6.171,6.171,5.188000000000001,5.188,5.188,5.188
14,6.235148514851486,6.664,6.171,6.171,5.141079207920791,5.188,4.991,5.188
15,6.609554455445541,6.664,6.56,6.611,5.133019801980199,5.167,4.991,5.167
16,6.555227722772278,6.56,6.548,6.554,5.1623861386138605,5.167,5.156,5.167
17,6.548000000000001,6.548,6.548,6.548,5.155999999999999,5.156,5.156,5.156
18,6.5432376237623755,6.548,6.538,6.542,5.155564356435644,5.156,5.154,5.156
19,6.5379999999999985,6.538,6.538,6.538,5.153999999999999,5.154,5.154,5.154
20,6.535158415841586,6.538,6.528,6.538,5.153999999999999,5.154,5.154,5.154
21,6.520891089108913,6.528,6.508,6.528,5.231356435643564,5.265,5.154,5.25
22,6.508000000000002,6.508,6.508,6.508,5.488534653465349,5.638,5.265,5.536
23,6.508000000000002,6.508,6.508,6.508,5.642069306930691,5.664,5.638,5.638
24,6.508000000000002,6.508,6.508,6.508,5.690990099009902,5.715,5.664,5.687
25,6.508000000000002,6.508,6.508,6.508,5.719980198019803,5.735,5.715,5.718
26,6.516366336633665,6.552,6.508,6.508,5.788089108910892,5.874,5.735,5.774
27,6.7525049504950525,6.816,6.552,6.816,6.1932871287128695,6.337,5.874,6.297
28,6.862702970297029,7.112,6.816,6.831,6.560257425742575,6.854,6.337,6.529
29,7.942188118811884,8.278,7.112,7.808,6.62609900990099,6.898,6.441,6.496
30,8.278000000000002,8.278,8.278,8.278,6.574574257425744,6.604,6.496,6.604
31,8.277267326732675,8.278,8.273,8.278,6.604000000000003,6.604,6.604,6.604
32,8.27149504950495,8.273,8.168,8.273,6.59771287128713,6.604,6.452,6.604
33,7.8748712871287125,8.608,6.871,8.069,6.0910594059405945,6.452,5.093,6.254
34,9.05851485148515,9.127,8.608,9.09,5.1250396039603965,5.176,5.093,5.123
35,8.89160975609756,9.364,8.665,8.822,5.216048780487805,5.237,5.176,5.219
