Window,Mean Valence,Max Valence,Min Valence,Median Valence,Mean Arousal,Max Arousal,Min Arousal,Median Arousal
1,5.0,5.0,5.0,5.0,5.001366336633664,5.016,5.0,5.0
2,5.9497425742574235,7.262,5.0,5.925,4.989950495049505,5.067,4.95,5.0
3,8.054940594059405,8.529,7.262,8.051,5.13081188118812,5.238,4.95,5.183
4,8.45230303030303,8.529,8.411,8.411,5.238353535353535,5.262,5.238,5.238
5,8.91363366336634,9.09,8.419,9.09,5.312752475247525,5.382,5.282,5.297
6,9.05391089108911,9.09,9.015,9.066,5.479118811881185,5.858,5.297,5.515
7,9.099554455445546,9.141,9.046,9.083,5.891980198019803,5.953,5.831,5.858
8,9.042158415841586,9.046,9.042,9.042,5.831000000000003,5.831,5.831,5.831
9,9.042000000000002,9.042,9.042,9.042,5.831000000000003,5.831,5.831,5.831
10,9.050059405940594,9.105,9.042,9.042,5.833693069306933,5.872,5.831,5.831
11,9.404108910891088,9.5,9.105,9.399,6.041732673267327,6.312,5.872,5.921
12,9.260940594059404,9.5,8.85,9.357,6.166732673267322,6.312,6.148,6.148
13,9.359217821782178,9.368,9.357,9.357,6.250574257425743,6.45,6.156,6.2
14,9.355227722772277,9.361,9.351,9.351,6.3092079207920815,6.339,6.301,6.305
15,9.351287128712872,9.361,9.351,9.351,6.300920792079209,6.301,6.297,6.301
16,9.391128712871287,9.396,9.328,9.396,6.2734653465346515,6.299,6.22,6.294
17,8.767574257425743,9.328,8.66,8.705,6.398673267326735,6.439,6.295,6.403
18,8.746712871287128,8.747,8.738,8.747,6.387712871287127,6.398,6.385,6.385
19,8.62839603960396,8.958,8.33,8.622,6.376742574257429,6.386,6.349,6.385
20,8.957999999999998,8.958,8.958,8.958,6.348287128712871,6.364,6.347,6.347
21,9.242148514851488,9.408,8.958,9.348,6.724564356435644,6.966,6.364,6.824
22,9.42630693069307,9.451,9.408,9.414,7.107900990099008,7.286,6.966,7.044
23,9.452623762376238,9.453,9.451,9.453,7.307247524752474,7.31,7.286,7.31
24,9.453000000000001,9.453,9.453,9.453,7.309999999999999,7.31,7.31,7.31
25,9.45320792079208,9.458,9.453,9.453,7.321326732673267,7.328,7.31,7.328
26,9.484415841584156,9.487,9.458,9.487,7.346732673267326,7.356,7.328,7.347
27,9.486999999999997,9.487,9.487,9.487,7.355999999999999,7.356,7.356,7.356
28,9.322148514851483,9.487,8.98,9.358,7.5269306930693025,7.629,7.3,7.627
29,9.357425742574257,9.358,9.357,9.357,7.616653465346538,7.627,7.599,7.614
30,9.352336633663366,9.357,9.347,9.349,7.524970297029704,7.599,7.439,7.476
31,9.345178217821783,9.347,9.345,9.345,7.406227722772275,7.439,7.4,7.404
32,9.344940594059407,9.346,9.34,9.346,7.336891089108908,7.4,7.294,7.307
33,9.347980198019803,9.368,9.339,9.346,7.177435643564358,7.294,6.916,7.2
34,9.422306930693066,9.478,9.325,9.452,6.774841584158416,6.916,6.403,6.846
35,9.476033898305085,9.48,9.475,9.475,6.846949152542372,6.847,6.844,6.847
