Window,Mean Valence,Max Valence,Min Valence,Median Valence,Mean Arousal,Max Arousal,Min Arousal,Median Arousal
1,5.017366336633663,5.369,5.0,5.0,5.069089108910891,5.255,5.0,5.0
2,5.70870297029703,6.029,5.369,5.728,5.301801980198022,5.508,5.235,5.256
3,6.116891089108914,6.406,5.921,6.029,4.947712871287128,5.508,4.27,4.859
4,5.964742574257427,6.238,5.357,6.238,4.858900990099009,4.95,4.573,4.867
5,5.834198019801981,5.839,5.765,5.839,4.95981188118812,4.982,4.95,4.951
6,5.839000000000002,5.839,5.839,5.839,5.01969306930693,5.072,4.982,5.018
7,6.0731782178217815,6.401,5.839,6.123,4.973108910891089,5.072,4.852,4.974
8,5.936762376237623,6.048,5.832,5.934,4.992227722772277,5.012,4.974,4.979
9,5.835851485148514,6.144,5.694,5.828,5.047029702970298,5.248,5.012,5.027
10,6.143138613861386,6.235,6.02,6.176,5.171564356435645,5.378,4.758,5.272
11,6.394900990099011,6.462,6.087,6.462,5.448524752475249,5.462,5.369,5.462
12,6.435297029702971,6.475,6.381,6.462,5.310821782178221,5.462,5.006,5.43
13,6.783079207920792,6.999,6.381,6.95,5.080990099009902,5.266,4.88,4.983
14,7.0009405940594025,7.002,6.999,7.002,5.029207920792079,5.092,4.97,5.04
15,7.001999999999998,7.002,7.002,7.002,5.114821782178219,5.146,5.092,5.109
16,6.992495049504949,7.002,6.929,7.001,5.033732673267328,5.226,4.6,5.157
17,6.8843564356435625,6.953,6.803,6.897,4.643742574257425,4.938,4.267,4.664
18,6.551722772277228,6.972,6.196,6.456,4.95861386138614,5.043,4.796,4.972
19,6.196000000000001,6.196,6.196,6.196,4.991306930693071,5.016,4.99,4.99
20,6.196000000000001,6.196,6.196,6.196,4.993178217821782,5.034,4.99,4.99
21,6.196000000000001,6.196,6.196,6.196,5.075386138613861,5.092,5.034,5.079
22,6.03717,6.196,5.875,5.962,5.027760000000001,5.092,4.96,5.0455000000000005
23,6.103019801980197,6.376,5.875,5.957,5.189277227722772,5.303,5.05,5.17
24,6.53080198019802,6.676,6.376,6.526,5.545871287128712,5.697,5.302,5.555
25,7.0051881188118825,7.184,6.676,7.108,5.819138613861385,5.94,5.697,5.792
26,7.353425742574257,7.404,7.184,7.386,5.978871287128711,6.062,5.885,5.971
27,7.405316831683169,7.42,7.25,7.417,5.945534653465347,5.998,5.446,5.998
28,7.725257425742574,7.916,7.25,7.907,5.532495049504949,5.784,5.264,5.59
29,7.545683168316832,7.626,7.508,7.516,5.190277227722772,5.518,5.088,5.09
30,7.420990099009904,7.508,7.205,7.43,5.086653465346534,5.088,5.086,5.086
31,7.748217821782177,7.849,7.205,7.794,5.318653465346531,5.492,5.086,5.247
32,7.873910891089108,7.89,7.794,7.89,5.529405940594057,5.568,5.233,5.568
33,7.775019801980198,7.93,7.383,7.89,5.405613861386137,5.618,5.135,5.568
34,7.376782178217822,7.383,7.326,7.383,5.1336633663366324,5.17,5.034,5.135
35,7.326000000000001,7.326,7.326,7.326,4.925196721311474,5.034,4.767,4.97
