Subject,Mean Valence,Max Valence,Min Valence,Median Valence,Mean Arousal,Max Arousal,Min Arousal,Median Arousal
1,5.154283582089552,5.182,5.144,5.152,1.776995024875622,1.973,1.73,1.757
10,5.540072139303483,6.767,5.0,5.6850000000000005,4.258166666666667,5.0,3.247,4.242
11,4.4234646849087875,5.004,3.266,5.0,3.0536218407960196,5.0,1.32,3.292
12,5.0360000000000005,5.036,5.036,5.036,2.7555290215588726,3.063,2.634,2.699
13,3.540295190713101,3.838,3.259,3.509,4.8264295190713105,5.085,4.571,4.841
14,4.998901172529313,5.036,4.924,5.036,4.0174700700850865,4.207,3.711,4.081
15,7.057594527363184,7.39,6.615,7.031,5.406853233830846,5.666,5.127,5.394500000000001
16,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
17,3.762689883913764,3.808,3.671,3.808,4.5519899668325055,4.941,3.678,4.847
18,5.0,5.0,5.0,5.0,4.993353233830845,5.0,4.749,5.0
19,5.0,5.0,5.0,5.0,5.15675,5.209,5.0,5.209
2,5.270701492537314,5.631,5.0,5.087,4.922442786069652,5.0,4.755,5.0
20,5.109548507462686,5.451,5.0,5.0,4.8529975124378115,5.15,4.176,5.0
21,4.657820895522388,5.0,4.269,4.654,3.8116256218905464,5.093,2.508,3.82
22,5.0,5.0,5.0,5.0,5.049999999999999,5.05,5.05,5.05
23,4.176190049751243,4.997,3.696,3.771,3.4806318407960206,3.606,3.242,3.493
24,4.784308457711443,5.056,3.762,5.0,4.422756218905472,5.0,3.691,4.607
25,3.331995024875621,3.882,2.967,3.399,2.6560559701492537,2.751,2.491,2.6775
26,4.781114427860697,5.0,4.528,4.763999999999999,3.971189054726368,5.008,3.148,4.098
27,5.053738805970149,5.157,4.88,5.1085,2.6616878109452733,5.0,1.675,2.0745
28,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
29,5.0,5.0,5.0,5.0,5.029572139303481,5.035,5.0,5.035
3,4.985999999999999,4.986,4.986,4.986,1.506783582089552,1.548,1.494,1.5
30,5.0,5.0,5.0,5.0,5.020761194029851,5.086,5.0,5.0
4,5.4714203980099505,5.881,4.994,5.4405,5.76881343283582,6.375,2.844,6.1805
5,5.2833407960199,6.062,4.93,5.034000000000001,1.357363184079602,3.287,0.509,0.7350000000000001
6,4.350333333333334,5.0,3.051,5.0,4.5516417910447755,5.0,3.654,5.0
7,5.209115,5.707,5.0,5.0,4.994057678275291,5.052,4.961,5.0
8,5.457265339966832,6.58,3.259,6.064,3.0232288557213933,4.071,2.319,2.475
9,5.147759535655058,5.413,5.0,5.0,4.69955223880597,5.036,4.101,5.0
