Subject,Mean Valence,Max Valence,Min Valence,Median Valence,Mean Arousal,Max Arousal,Min Arousal,Median Arousal
1,6.953276119402984,7.572,5.0,7.428,5.017476368159205,5.181,4.622,5.0695
10,4.970686996418192,5.089,4.782,4.994,3.772369890293934,4.062,3.142,3.842
11,5.196237147595357,5.526,4.695,5.237,4.235726368159205,5.22,3.499,4.095
12,5.048842039800995,5.054,5.035,5.052,3.6646542288557216,3.753,3.595,3.6740000000000004
13,5.117797014925373,5.916,5.0,5.0,5.015086567164179,5.413,3.933,5.0
14,5.626641285240464,6.74,5.0,5.058,4.443004809286899,5.183,4.047,4.128
15,5.186813843283582,6.379,4.167,5.21575,4.944868254560531,5.322,4.049,5.014
16,4.9705041459369825,5.023,4.929,4.977,3.072628524046435,4.958,2.767,2.86
17,4.899286898839137,5.106,4.555,5.048,3.284580431177446,3.506,2.901,3.431
18,5.3746059588989725,6.07,5.0,5.257,4.740458261456536,5.51,4.267,4.7865
19,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
2,5.095298507462687,5.096,5.095,5.0954999999999995,3.720136815920398,3.729,3.72,3.72
20,6.280732828313822,7.107,5.687,6.126,4.573859741873997,5.642,3.42,4.074
21,4.963948258706468,5.069,4.866,5.0,3.2091401094527363,5.0,1.402,3.001
22,5.363580099502487,5.983,3.956,5.0,4.885267661691542,5.34,4.425,4.941
23,4.8285184079602,5.076,4.721,4.721,3.5942268656716414,5.0,3.389,3.486
24,5.017090510948906,5.131,4.885,5.018,2.263264751930604,4.675,1.948,2.104
25,4.993486,5.045,4.808,5.003,3.1279311940298506,3.322,2.519,3.171
26,5.362526053067993,6.433,5.0,5.178,4.3600783167495845,5.058,4.007,4.05
27,5.114880903814262,5.221,4.911,5.139,4.055800360696517,5.0,3.394,4.056
28,5.009298507462687,5.07,4.929,5.0,5.043076285240464,5.284,5.0,5.0
29,5.08088391376451,5.317,5.0,5.0,4.990089552238806,5.0,4.913,5.0
3,5.075338308457711,5.694,4.935,4.977,4.576238805970149,5.0,4.026,4.552
30,6.244888059701493,6.661,5.899,6.338,4.911522388059703,5.018,4.871,4.871
4,6.411398110457811,7.327,5.857,6.191,5.9860093220764865,6.477,5.682,5.81
5,5.415925373134328,6.169,4.964,5.426,3.1122686567164175,3.629,2.699,2.859
6,3.4681293532338313,3.62,3.145,3.533,3.143313432835821,3.921,2.933,2.977
7,5.071803980099504,5.118,4.851,5.063,3.7427572139303478,5.0,2.973,3.702
8,7.036721393034826,7.182,6.926,7.1,2.3480955223880597,2.651,2.09,2.342
9,5.068307744610283,5.463,5.0,5.0,4.866113963515755,5.0,4.191,5.0
