Subject,Mean Valence,Max Valence,Min Valence,Median Valence,Mean Arousal,Max Arousal,Min Arousal,Median Arousal
1,9.174562189054726,9.5,8.33,9.347,6.444119402985074,7.629,5.831,6.301
10,5.713660033167496,7.489,5.0,5.0,5.161933665008292,5.45,5.0,5.104
11,5.92471461442786,6.828,5.0,5.9745,4.883973793532339,5.0,4.503,4.9315
12,8.311378109452738,9.5,7.029,8.822,6.95306135986733,7.29,6.43,7.117
13,7.302203980099502,7.41,7.2,7.305,5.2529121061359865,5.69,5.001,5.084
14,6.996253731343283,7.933,6.092,6.866,5.001986318407961,5.071,4.943,4.9975000000000005
15,6.874832504145938,7.628,6.196,6.67,5.2646417910447765,5.94,4.796,5.088
16,7.444563184079604,9.5,5.782,6.792,4.823869651741294,5.768,4.167,4.432
17,6.35985842964824,6.669,5.726,6.396,5.4054625,5.603,4.869,5.414
18,5.176927860696518,5.593,5.0,5.2575,5.127017412935324,5.516,5.0,5.129
19,6.308691542288557,7.139,5.325,6.3415,4.9894440298507465,5.043,4.931,4.992
2,5.268303482587065,6.444,3.884,5.4485,5.127110696517413,5.752,4.82,4.984
20,6.988842258404945,9.127,6.021,6.56,5.546336951605609,6.898,4.758,5.215
21,4.938325041459369,4.975,4.922,4.942,5.644610281923716,5.994,5.346,5.614
22,5.667044776119404,6.988,3.514,5.0,6.0312786069651745,7.42,4.681,5.865
23,7.365390547263681,8.037,6.592,7.3905,4.984810945273631,5.096,4.81,4.986000000000001
24,7.427201990049751,7.64,7.118,7.447,5.000181094527363,5.26,4.655,4.909
25,6.359371144278607,8.0,5.0,6.565,5.591999004975124,6.721,5.0,5.172
26,6.930493781094528,8.636,5.0,7.093,4.960559701492537,5.059,4.855,4.9705
27,7.0063631840796035,7.369,6.608,6.9665,5.552388059701494,5.625,5.404,5.552
28,6.82799336650083,8.189,5.054,7.404,6.282587064676618,7.393,5.0,6.653
29,5.268822553897181,6.032,5.0,5.0,5.047716417910448,5.334,4.953,5.0
3,5.812233830845772,6.892,5.0,5.483499999999999,5.636564676616915,6.327,4.822,5.6305
30,6.656514427860697,7.202,5.0,6.993,7.387598009950247,8.396,4.969,7.91
4,6.344553482587065,7.2,5.0,6.4,6.076472636815921,7.056,4.631,6.247
5,7.967450248756219,8.885,7.418,7.923,5.639573383084577,6.824,5.111,5.269
6,5.411134328358209,6.132,5.0,5.0,5.002150912106136,5.016,4.889,5.0
7,5.102855310945274,5.315,5.0,5.0,4.977141791044776,5.0,4.846,5.0
8,6.866381426202323,9.394,5.0,5.796,4.9973864013267,6.459,3.488,5.099
9,6.834071783937455,7.892,5.0,6.955,3.6775671641791043,5.0,2.936,3.474
