Subject,Mean Valence,Max Valence,Min Valence,Median Valence,Mean Arousal,Max Arousal,Min Arousal,Median Arousal
1,4.972245202558635,5.199,4.675,4.946,5.412717839374557,5.846,4.416,5.636
10,6.775166666666667,6.957,6.733,6.759499999999999,5.24665671641791,6.242,4.912,5.0645
11,5.021796019900497,5.144,4.8,4.9685,4.263363184079601,5.049,3.88,4.102
12,6.48407960199005,7.449,5.0,6.891,5.35010447761194,6.339,5.0,5.264
13,5.601473649341234,6.029,5.0,5.4275,4.8785615515387875,5.0,4.781,4.890499999999999
14,5.025999999999998,5.026,5.026,5.026,3.9372985074626863,3.975,3.93,3.932
15,6.235340000000001,6.569,5.531,6.171,5.32557,5.686,5.08,5.309
16,5.698283582089552,6.053,5.0,6.053,4.995767827529021,5.002,4.968,5.0
17,4.189766169154229,4.196,4.189,4.189,4.393522388059702,4.565,4.296,4.36
18,6.042351575456053,6.651,5.0,6.007,4.566927935323384,5.02,4.375,4.554
19,5.41742039800995,5.903,5.0,5.4335,5.3196840796019895,5.747,5.0,5.3545
2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
20,5.316613930348259,5.673,5.0,5.265,4.653506467661691,5.038,4.105,4.571
21,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
22,7.16749751243781,7.705,6.381,7.1475,5.801771144278606,6.361,4.771,5.6585
23,5.049746268656717,5.078,4.99,5.078,3.92052487562189,5.0,3.488,3.5265
24,6.3280647654300655,6.97,6.1,6.164,5.8888742166537345,6.089,5.513,5.929
25,6.223258706467662,6.81,5.913,6.143000000000001,3.687976368159205,4.325,2.912,3.7460000000000004
26,5.975043117744611,6.744,5.0,6.241,5.246683250414593,5.567,5.0,5.338
27,5.767734186211799,6.15,5.045,5.689,4.507579957356077,4.887,4.188,4.498
28,4.713742537313433,5.516,3.323,5.1240000000000006,4.786660447761194,5.0,4.486,4.8695
29,5.676616915422884,5.731,5.436,5.716,5.100616915422886,5.103,5.1,5.1
3,5.971815920398011,6.487,5.105,6.061,4.886311774461027,5.229,4.752,4.824
30,4.936832089552238,5.022,4.823,4.9785,5.007002487562189,5.814,3.406,5.3735
4,4.832778072139304,7.042,2.981,4.984,5.581614881840796,6.609,4.044,5.752000000000001
5,6.235263681592039,6.261,6.196,6.261,5.789611940298509,5.884,5.728,5.734
6,5.5613184079602,6.432,4.787,5.716,4.793635157545605,4.944,4.639,4.842
7,5.179212686567164,5.308,5.0,5.1695,4.9552699004975125,5.0,4.836,5.0
8,5.715349502487562,7.585,4.133,6.0225,4.748106965174129,5.723,3.412,4.989
9,6.119945273631841,6.153,6.068,6.125,3.7988888888888876,3.891,3.708,3.827
