Video,Start,End,gsrStart,gsrEnd,ValenceStart,ValenceEnd,ArousalStart,ArousalEnd
1,1568884,1573884,14.939,16.184,5.018,6.919,5.0,5.01
1,1573884,1578885,16.184,16.125,6.919,6.919,5.01,4.965
1,1578885,1583884,16.125,16.003,6.919,6.873,4.965,4.841
1,1583884,1588885,16.003,16.054,6.873,6.871,4.841,4.841
1,1588885,1593885,16.054,15.944,6.871,6.868,4.841,4.995
1,1593885,1598886,15.944,16.133,6.868,9.241,4.995,5.391
1,1598886,1603885,16.133,15.991,9.241,9.193,5.391,6.236
1,1603885,1608886,15.991,16.015,9.193,9.498,6.236,6.432
1,1608886,1613886,16.015,15.928,9.498,8.85,6.432,6.469
1,1613886,1618886,15.928,15.869,8.85,9.144,6.469,6.7
1,1618886,1623886,15.869,15.696,9.144,9.144,6.7,6.7
1,1623886,1628887,15.696,15.562,9.144,9.144,6.7,6.7
1,1628887,1633887,15.562,15.404,9.144,9.144,6.7,6.7
1,1633887,1638887,15.404,15.175,9.144,8.779,6.7,6.635
1,1638887,1643887,15.175,14.978,8.779,8.551,6.635,6.635
1,1643887,1648888,14.978,14.71,8.551,8.301,6.635,6.182
1,1648888,1653887,14.71,14.497,8.301,8.187,6.182,6.018
1,1653887,1658888,14.497,14.213,8.187,8.187,6.018,6.008
1,1658888,1663888,14.213,13.988,8.187,8.181,6.008,5.955
1,1663888,1668889,13.988,13.811,8.181,8.174,5.955,5.955
1,1668889,1673888,13.811,13.736,8.174,8.754,5.955,5.876
1,1673888,1678889,13.736,13.507,8.754,8.783,5.876,5.836
1,1678889,1683889,13.507,13.322,8.783,8.812,5.836,5.759
1,1683889,1688889,13.322,13.165,8.812,8.812,5.759,5.736
1,1688889,1693889,13.165,13.094,8.812,8.901,5.736,5.673
1,1693889,1698890,13.094,12.959,8.901,9.034,5.673,5.642
1,1698890,1703890,12.959,12.952,9.034,9.046,5.642,5.625
1,1703890,1708890,12.952,13.07,9.046,9.157,5.625,5.62
1,1708890,1713890,13.07,12.924,9.157,9.157,5.62,5.62
1,1713890,1718891,12.924,13.113,9.157,9.429,5.62,5.292
1,1718891,1723890,13.113,13.886,9.429,9.427,5.292,5.95
1,1723890,1728891,13.886,14.785,9.427,9.427,5.95,5.975
1,1728891,1733891,14.785,14.745,9.427,9.293,5.975,5.905
1,1733891,1738892,14.745,14.738,9.293,9.285,5.905,5.884
1,1738892,1743881,14.738,15.23,9.285,9.285,5.884,5.822
1,1743881,1748892,15.23,15.838,9.285,9.285,5.822,5.821
