Video,Start,End,gsrStart,gsrEnd,ValenceStart,ValenceEnd,ArousalStart,ArousalEnd
3,226510,231509,33.019,32.562,5.089,5.157,4.696,4.254
3,231509,236510,32.562,32.321,5.157,5.157,4.254,3.917
3,236510,241510,32.321,32.144,5.157,5.215,3.917,3.503
3,241510,246511,32.144,31.967,5.215,5.228,3.503,3.413
3,246511,251510,31.967,31.699,5.228,5.359,3.413,3.12
3,251510,256511,31.699,31.608,5.359,5.343,3.12,3.034
3,256511,261511,31.608,31.359,5.343,5.301,3.034,2.853
3,261511,266511,31.359,31.202,5.301,5.278,2.853,2.402
3,266511,271511,31.202,30.93,5.278,4.899,2.402,2.31
3,271511,276512,30.93,30.701,4.899,4.898,2.31,2.31
3,276512,281512,30.701,30.508,4.898,4.898,2.31,2.261
3,281512,286512,30.508,30.275,4.898,4.898,2.261,2.261
3,286512,291512,30.275,30.102,4.898,4.901,2.261,1.85
3,291512,296513,30.102,29.913,4.901,4.976,1.85,1.864
3,296513,301512,29.913,29.692,4.976,4.88,1.864,1.888
3,301512,306513,29.692,29.475,4.88,5.128,1.888,1.888
3,306513,311513,29.475,29.203,5.128,5.136,1.888,1.888
3,311513,316514,29.203,28.97,5.136,5.136,1.888,1.69
3,316514,321513,28.97,28.765,5.136,5.331,1.69,1.723
3,321513,326514,28.765,28.552,5.331,5.271,1.723,1.963
3,326514,331514,28.552,28.391,5.271,5.165,1.963,1.878
3,331514,336514,28.391,28.217,5.165,5.073,1.878,1.972
