Video,Start,End,gsrStart,gsrEnd,ValenceStart,ValenceEnd,ArousalStart,ArousalEnd
3,221531,226532,7.874,7.937,5.0,5.0,5.0,5.0
3,226532,231531,7.937,7.905,5.0,5.0,5.0,5.0
3,231531,236532,7.905,7.826,5.0,4.963,5.0,4.558
3,236532,241532,7.826,7.791,4.963,5.774,4.558,4.482
3,241532,246533,7.791,7.724,5.774,5.774,4.482,4.473
3,246533,251532,7.724,7.68,5.774,5.761,4.473,4.473
3,251532,256533,7.68,7.621,5.761,5.754,4.473,4.462
3,256533,261533,7.621,7.582,5.754,5.627,4.462,3.74
3,261533,266533,7.582,7.535,5.627,5.614,3.74,3.719
3,266533,271533,7.535,7.468,5.614,5.6,3.719,3.679
3,271533,276534,7.468,7.432,5.6,5.31,3.679,3.138
3,276534,281534,7.432,7.377,5.31,5.306,3.138,3.138
3,281534,286534,7.377,7.341,5.306,5.306,3.138,3.138
3,286534,291534,7.341,7.274,5.306,5.288,3.138,3.112
3,291534,296535,7.274,7.251,5.288,5.184,3.112,2.528
3,296535,301534,7.251,7.203,5.184,5.188,2.528,2.531
3,301534,306535,7.203,7.188,5.188,5.188,2.531,2.531
3,306535,311535,7.188,7.14,5.188,5.188,2.531,2.531
3,311535,316536,7.14,7.101,5.188,5.188,2.531,2.531
3,316536,321535,7.101,7.073,5.188,5.182,2.531,1.968
3,321535,326536,7.073,7.03,5.182,5.152,1.968,1.757
3,326536,331536,7.03,6.998,5.152,5.144,1.757,1.757
3,331536,336536,6.998,6.967,5.144,5.144,1.757,1.757
