Window,Mean Valence,Max Valence,Min Valence,Median Valence,Mean Arousal,Max Arousal,Min Arousal,Median Arousal
1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
3,4.8734950495049505,5.0,4.269,5.0,5.040851485148514,5.231,5.0,5.0
4,4.217069306930692,4.269,4.082,4.269,5.619623762376237,6.472,5.231,5.246
5,3.9772673267326737,4.082,3.957,3.957,6.548673267326734,6.594,6.472,6.556
6,3.637950495049505,3.957,3.324,3.759,6.813227722772274,7.021,6.594,6.778
7,3.3239999999999994,3.324,3.324,3.324,7.022435643564357,7.028,7.021,7.022
8,3.2879603960396033,3.324,3.138,3.322,6.831861386138612,7.068,6.136,7.029
9,3.2649999999999992,3.265,3.265,3.265,6.135999999999998,6.136,6.136,6.136
10,3.2649999999999992,3.265,3.265,3.265,6.135999999999998,6.136,6.136,6.136
11,4.4969405940594065,4.892,3.265,4.825,5.90108910891089,6.136,5.834,5.846
12,4.892000000000001,4.892,4.892,4.892,5.833999999999998,5.834,5.834,5.834
13,4.892000000000001,4.892,4.892,4.892,5.833999999999998,5.834,5.834,5.834
14,4.4247623762376245,4.892,3.899,4.403,5.601999999999999,5.834,5.375,5.631
15,3.5828415841584147,3.899,3.397,3.502,5.873752475247526,5.979,5.722,5.918
16,3.1487227722772277,3.397,2.894,3.153,6.49728712871287,7.031,5.979,6.429
17,2.8939999999999997,2.894,2.894,2.894,7.053495049504951,7.082,7.031,7.053
18,2.8938514851485153,2.894,2.891,2.894,7.109683168316831,7.139,7.082,7.109
19,2.8724851485148517,2.891,2.851,2.876,7.155178217821785,7.181,7.139,7.155
20,2.7737623762376247,2.851,2.745,2.745,7.392970297029702,7.726,7.181,7.275
21,2.6136435643564364,2.745,2.297,2.686,7.5163861386138615,7.811,6.957,7.671
22,2.4597029702970294,2.735,2.433,2.433,7.111217821782179,7.211,6.957,7.136
23,2.4403168316831687,2.545,2.369,2.44,7.665049504950495,8.017,7.211,7.774
24,2.3631188118811886,2.369,2.362,2.362,7.932000000000002,7.932,7.932,7.932
25,2.357207920792079,2.362,2.349,2.356,7.899059405940596,7.932,7.591,7.932
26,2.3489999999999998,2.349,2.349,2.349,7.571752475247522,7.728,7.441,7.526
27,2.3489999999999998,2.349,2.349,2.349,7.768118811881189,7.809,7.728,7.769
28,2.3492376237623764,2.353,2.349,2.349,7.894920792079209,7.945,7.809,7.893
29,2.3858800000000002,2.541,2.353,2.394,8.021080000000001,8.073,7.795,8.031
