Subject,Mean Valence,Max Valence,Min Valence,Median Valence,Mean Arousal,Max Arousal,Min Arousal,Median Arousal
1,2.473315514802712,5.0,0.5,2.825,7.255830383706914,9.5,5.0,6.653
10,3.683153798494187,5.227,1.75,3.655,7.287227166807424,9.004,3.018,7.65
11,4.925256768786411,5.702,4.279,5.0,5.890670522804816,6.65,5.0,5.91
12,3.3926281597814953,5.0,2.297,3.265,6.68212805735746,8.073,5.0,7.022
13,4.368289308463569,5.0,1.974,4.855,6.330537287644316,7.56,5.0,6.254
14,4.9243625810856955,5.256,4.259,5.005,7.27222840559918,9.5,5.0,7.216
15,4.67907657919205,6.593,2.129,5.0,6.701163024632863,9.5,4.921,6.562
16,3.406309662000683,5.0,0.5,3.931,6.350363263912599,9.262,4.908,5.425
17,4.728232949324489,6.038,2.712,5.096,6.205339527386236,7.943,5.0,6.035
18,6.38909630230777,7.084,5.0,6.606,5.879900186208742,7.816,4.934,5.673
19,3.658923864800273,5.308,0.5,4.963,6.82611710481393,9.5,5.0,6.107
2,3.370177934540891,5.075,1.244,3.322,7.236572757974772,9.055,5.0,7.677
20,3.4679979921604422,5.0,1.948,3.533,7.494912210461271,9.5,5.0,6.969
21,4.903200673379571,5.0,4.734,4.918,5.775603504632466,7.15,5.0,5.485
22,3.703002736911622,5.0,0.5,4.406,6.907096783385235,9.5,5.0,7.369
23,4.446378968931375,5.052,3.379,5.0,6.1296456128371455,7.778,5.0,6.199
24,4.464519082024115,5.098,2.991,4.941000000000001,6.5764501990367865,7.34,4.79,6.984500000000001
25,3.5852171662683507,5.173,0.5,3.818,6.929303785137136,9.5,5.0,6.887
26,4.351220342723928,8.919,1.964,4.821,6.597456171479218,8.004,4.892,6.872
27,3.068310120509721,5.0,1.344,3.337,6.017698673285783,8.317,4.105,5.663
28,5.061431878532679,5.675,4.415,5.0,6.155621353514662,8.207,4.967,5.855
29,4.414487557980179,5.0,2.473,5.0,5.248433312864553,6.167,5.0,5.0
3,2.8466292249914646,5.0,1.656,2.443,7.684675998634345,8.959,4.287,8.28
30,2.88945066575623,5.0,0.5,3.154,6.5001027654489585,9.5,4.553,5.995
4,2.6242553772618638,5.917,0.5,2.609,6.915407497439399,8.402,5.0,6.95
5,2.440498567806709,5.0,0.5,1.954,7.75946056674633,9.5,5.0,7.8
6,4.69010875061644,5.19,1.826,5.019,6.456982198010875,8.245,5.0,6.338
7,4.825586391259816,5.094,3.942,5.0,5.9902910149206905,9.223,5.0,5.182
8,2.9709321229836734,5.0,0.643,3.9,7.17372168302801,9.064,5.0,7.16
9,4.122278667195704,5.643,2.414,4.306,6.172617464682164,7.715,5.0,6.26
