Window,Mean Valence,Max Valence,Min Valence,Median Valence,Mean Arousal,Max Arousal,Min Arousal,Median Arousal
1,5.0,5.0,5.0,5.0,5.109,5.109,5.109,5.109
2,5.0,5.0,5.0,5.0,5.010683168316832,5.109,5.0,5.0
3,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
4,4.979019801980199,5.0,4.873,5.0,5.413633663366336,6.78,5.0,5.0
5,4.975000000000002,4.975,4.975,4.975,6.756237623762375,6.78,6.74,6.745
6,4.976584158415841,4.979,4.975,4.975,6.74,6.74,6.74,6.74
7,4.987841584158416,5.005,4.979,4.979,6.513732673267328,6.74,6.143,6.671
8,5.005000000000001,5.005,5.005,5.005,6.143000000000001,6.143,6.143,6.143
9,5.005000000000001,5.005,5.005,5.005,6.143000000000001,6.143,6.143,6.143
10,5.005000000000001,5.005,5.005,5.005,6.143000000000001,6.143,6.143,6.143
11,5.005000000000001,5.005,5.005,5.005,6.143000000000001,6.143,6.143,6.143
12,5.010752475247526,5.107,4.929,5.005,6.702287128712871,7.216,6.143,6.896
13,5.107000000000001,5.107,5.107,5.107,7.215999999999999,7.216,7.216,7.216
14,5.107000000000001,5.107,5.107,5.107,7.215999999999999,7.216,7.216,7.216
15,5.107000000000001,5.107,5.107,5.107,7.215999999999999,7.216,7.216,7.216
16,5.107000000000001,5.107,5.107,5.107,7.215999999999999,7.216,7.216,7.216
17,5.069089108910892,5.107,5.059,5.059,6.833346534653465,7.216,6.725,6.725
18,5.053356435643564,5.059,5.037,5.053,6.727861386138615,6.777,6.725,6.725
19,4.848673267326733,5.037,4.804,4.804,7.30569306930693,7.457,6.777,7.457
20,4.804,4.804,4.804,4.804,7.458099009900989,7.625,7.449,7.457
21,5.016504950495049,5.065,4.804,5.05,8.951851485148513,9.161,7.625,9.161
22,5.0649999999999995,5.065,5.065,5.065,9.143059405940592,9.161,9.077,9.161
23,5.0649999999999995,5.065,5.065,5.065,9.125277227722773,9.5,8.343,9.5
24,4.540158415841584,5.065,4.259,4.292,9.5,9.5,9.5,9.5
25,4.259623762376238,4.267,4.259,4.259,9.5,9.5,9.5,9.5
26,4.2719108910891075,4.314,4.267,4.27,9.5,9.5,9.5,9.5
27,4.718673267326731,5.256,4.314,4.62,8.60118811881188,9.5,7.611,8.783
28,5.103326732673267,5.256,4.614,5.256,8.066673267326731,9.5,7.586,7.586
29,4.613999999999999,4.614,4.614,4.614,9.5,9.5,9.5,9.5
