Window,Mean Valence,Max Valence,Min Valence,Median Valence,Mean Arousal,Max Arousal,Min Arousal,Median Arousal
1,5.011861386138614,5.288,5.0,5.0,5.045455445544555,5.157,5.0,5.036
2,4.984643564356435,5.31,4.655,5.0,5.026396039603961,5.202,5.0,5.0
3,4.570435643564358,4.655,4.509,4.568,5.0695544554455445,5.202,4.979,5.043
4,4.593782178217822,4.619,4.272,4.619,4.821920792079208,4.979,4.555,4.833
5,3.8340792079207913,4.272,3.191,3.861,4.510514851485148,4.729,4.293,4.503
6,3.2615643564356436,3.374,3.191,3.257,4.821148514851485,4.963,4.729,4.793
7,3.2919405940594064,3.399,2.771,3.366,4.521425742574257,4.801,4.419,4.488
8,2.6222871287128706,2.771,2.414,2.666,4.94139603960396,5.064,4.779,4.972
9,2.7810792079207918,2.792,2.717,2.792,4.800742574257424,4.856,4.782,4.782
10,2.414663366336633,2.782,2.333,2.392,4.947871287128711,4.992,4.856,4.972
11,2.3637227722772285,2.438,2.234,2.399,4.750039603960394,4.888,4.66,4.67
12,2.234000000000001,2.234,2.234,2.234,4.539198019801982,4.674,4.506,4.533
13,2.219831683168316,2.263,1.933,2.249,4.496861386138615,4.535,4.37,4.533
14,2.364990099009901,2.555,1.933,2.433,4.62757425742574,4.782,4.405,4.679
15,3.0432277227722775,3.846,2.555,2.624,4.797881188118812,4.874,4.782,4.784
16,4.193564356435642,4.905,3.846,4.124,4.839940594059406,5.0,4.814,4.814
17,4.995445544554456,5.113,4.905,5.0,5.015564356435644,5.315,5.0,5.0
18,5.025237623762376,5.144,5.0,5.0,4.965930693069307,5.321,4.696,5.0
19,4.96728712871287,5.144,4.542,5.052,4.611999999999999,4.696,4.411,4.65
20,4.082940594059406,4.542,3.635,4.127,4.225465346534653,4.411,4.079,4.219
21,3.0435940594059407,3.635,2.647,2.992,3.877900990099011,4.186,3.436,3.93
22,2.6362079207920797,2.647,2.616,2.637,3.960722772277227,3.989,3.955,3.955
23,2.486207920792079,2.616,2.136,2.616,4.007762376237624,4.027,3.947,4.013
24,2.2469405940594065,2.339,2.104,2.274,3.856940594059405,3.951,3.696,3.848
25,1.6752871287128714,2.104,1.445,1.611,3.899346534653466,4.087,3.654,3.897
26,1.4837821782178222,1.8,1.163,1.431,3.945079207920793,4.099,3.639,4.022
27,1.855534653465347,2.022,1.8,1.813,3.9637821782178215,4.068,3.947,3.95
28,2.368801980198019,2.66,2.022,2.392,3.9063960396039596,4.073,3.843,3.851
29,3.0158118811881183,3.318,2.66,3.172,3.920594059405942,3.98,3.885,3.896
30,3.318,3.318,3.318,3.318,3.98,3.98,3.98,3.98
