Window,Mean Valence,Max Valence,Min Valence,Median Valence,Mean Arousal,Max Arousal,Min Arousal,Median Arousal
1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
3,4.99970297029703,5.0,4.975,5.0,5.0,5.0,5.0,5.0
4,4.17750495049505,4.975,4.094,4.094,4.875306930693069,5.0,4.851,4.862
5,4.08869306930693,4.094,4.044,4.094,4.830247524752475,4.851,4.786,4.842
6,3.978316831683169,4.044,3.87,3.997,4.745128712871287,4.786,4.657,4.772
7,3.8000198019801976,3.87,3.693,3.818,4.580702970297032,4.657,4.494,4.585
8,3.678247524752475,3.693,3.652,3.687,4.477643564356435,4.494,4.453,4.494
9,3.649801980198021,3.652,3.648,3.649,4.4403366336633665,4.453,4.397,4.453
10,3.636920792079208,3.648,3.622,3.641,4.380663366336635,4.397,4.362,4.388
11,3.927465346534655,4.511,3.583,3.666,4.240930693069306,4.362,4.113,4.26
12,4.511000000000002,4.511,4.511,4.511,4.067178217821782,4.113,4.041,4.052
13,4.511000000000002,4.511,4.511,4.511,4.001702970297029,4.041,3.973,3.997
14,4.511000000000002,4.511,4.511,4.511,3.9496237623762376,3.973,3.926,3.945
15,4.508613861386138,4.511,4.508,4.508,3.91448514851485,3.926,3.9,3.926
16,4.502940594059405,4.508,4.496,4.504,3.8829999999999996,3.9,3.873,3.873
17,4.495405940594062,4.496,4.492,4.496,3.867425742574257,3.873,3.858,3.873
18,4.548603960396041,4.833,4.49,4.49,3.9248712871287132,4.134,3.858,3.858
19,4.97853,5.067,4.833,5.0,4.208959999999999,4.998,3.633,4.081
20,5.026633663366336,5.177,4.5,5.173,3.2067425742574254,3.593,3.089,3.089
21,4.4365445544554465,4.624,4.349,4.428,3.3917920792079213,3.399,3.387,3.387
22,4.554366336633663,4.624,4.439,4.561,3.3990000000000005,3.399,3.399,3.399
23,4.411326732673268,4.439,4.397,4.411,3.3990000000000005,3.399,3.399,3.399
24,4.4107524752475245,4.694,4.382,4.382,3.368465346534654,3.399,3.226,3.399
25,4.987653465346535,5.019,4.694,5.011,3.111405940594061,3.237,3.026,3.064
26,5.019881188118811,5.05,5.019,5.019,3.181821782178219,3.237,2.754,3.237
27,5.124435643564355,5.145,5.05,5.131,2.076237623762376,2.754,1.679,2.058
28,5.1309999999999985,5.131,5.131,5.131,2.0579999999999994,2.058,2.058,2.058
29,5.1309999999999985,5.131,5.131,5.131,2.057613861386138,2.058,2.049,2.058
30,5.131,5.131,5.131,5.131,2.049,2.049,2.049,2.049
