Video,Start,End,gsrStart,gsrEnd,ValenceStart,ValenceEnd,ArousalStart,ArousalEnd
5,1325230,1330229,12.384,12.262,5.0,5.0,5.0,5.0
5,1330229,1335229,12.262,12.171,5.0,5.0,5.0,5.0
5,1335229,1340229,12.171,12.057,5.0,5.0,5.0,5.0
5,1340229,1345229,12.057,11.998,5.0,5.0,5.0,5.0
5,1345229,1350228,11.998,12.005,5.0,5.0,5.0,5.0
5,1350228,1355228,12.005,12.124,5.0,5.0,5.0,5.0
5,1355228,1360228,12.124,11.99,5.0,5.0,5.0,5.0
5,1360228,1365227,11.99,11.97,5.0,5.0,5.0,5.0
5,1365227,1370227,11.97,11.808,5.0,5.0,5.0,5.0
5,1370227,1375227,11.808,11.718,5.0,5.096,5.0,3.746
5,1375227,1380228,11.718,11.674,5.096,5.102,3.746,2.713
5,1380228,1385227,11.674,11.595,5.102,5.102,2.713,2.757
5,1385227,1390227,11.595,11.509,5.102,5.11,2.757,2.982
5,1390227,1395227,11.509,11.453,5.11,4.96,2.982,2.897
5,1395227,1400226,11.453,11.461,4.96,4.96,2.897,2.897
5,1400226,1405226,11.461,11.367,4.96,4.96,2.897,2.897
5,1405226,1410226,11.367,11.308,4.96,4.96,2.897,2.904
5,1410226,1415226,11.308,11.205,4.96,4.96,2.904,2.904
5,1415226,1420225,11.205,11.154,4.96,4.96,2.904,2.904
5,1420225,1425225,11.154,11.043,4.96,4.96,2.904,2.905
5,1425225,1430225,11.043,11.012,4.96,4.96,2.905,2.905
5,1430225,1435224,11.012,10.961,4.96,6.216,2.905,3.218
5,1435224,1440224,10.961,10.862,6.216,6.313,3.218,3.078
5,1440224,1445224,10.862,10.716,6.313,6.313,3.078,3.124
5,1445224,1450224,10.716,10.673,6.313,6.301,3.124,3.153
5,1450224,1455223,10.673,10.574,6.301,6.301,3.153,3.131
5,1455223,1460223,10.574,10.48,6.301,5.2,3.131,2.844
5,1460223,1465223,10.48,10.401,5.2,5.016,2.844,2.804
5,1465223,1470222,10.401,10.282,5.016,5.016,2.804,2.898
