Video,Start,End,gsrStart,gsrEnd,ValenceStart,ValenceEnd,ArousalStart,ArousalEnd
5,2191482,2196483,20.679,25.059,5.0,5.0,5.0,5.0
5,2196483,2201483,25.059,24.125,5.0,5.0,5.0,5.0
5,2201483,2206483,24.125,24.685,5.0,5.0,5.0,5.0
5,2206483,2211483,24.685,23.829,5.0,5.0,5.0,5.0
5,2211483,2216485,23.829,24.05,5.0,5.534,5.0,4.898
5,2216485,2221484,24.05,24.042,5.534,6.068,4.898,4.813
5,2221484,2226485,24.042,23.431,6.068,6.072,4.813,4.721
5,2226485,2231485,23.431,22.934,6.072,6.938,4.721,4.683
5,2231485,2236486,22.934,22.552,6.938,6.919,4.683,4.683
5,2236486,2241485,22.552,22.055,6.919,6.919,4.683,4.683
5,2241485,2246486,22.055,21.515,6.919,6.919,4.683,4.683
5,2246486,2251485,21.515,21.026,6.919,6.922,4.683,4.659
5,2251485,2256485,21.026,21.125,6.922,6.518,4.659,4.732
5,2256485,2261485,21.125,21.061,6.518,6.654,4.732,4.732
5,2261485,2266486,21.061,20.805,6.654,6.646,4.732,4.732
5,2266486,2271486,20.805,20.454,6.646,6.646,4.732,4.732
5,2271486,2276486,20.454,20.048,6.646,6.49,4.732,4.736
5,2276486,2281486,20.048,19.816,6.49,7.377,4.736,4.46
5,2281486,2286487,19.816,19.488,7.377,7.516,4.46,3.987
5,2286487,2291486,19.488,19.201,7.516,7.514,3.987,4.049
5,2291486,2296487,19.201,18.834,7.514,7.503,4.049,4.055
5,2296487,2301487,18.834,18.574,7.503,7.493,4.055,4.058
5,2301487,2306487,18.574,18.164,7.493,7.482,4.058,4.07
5,2306487,2311487,18.164,17.907,7.482,7.482,4.07,4.07
5,2311487,2316488,17.907,17.497,7.482,7.482,4.07,4.07
5,2316488,2321488,17.497,17.202,7.482,7.482,4.07,4.07
5,2321488,2326488,17.202,16.934,7.482,7.589,4.07,4.394
5,2326488,2331488,16.934,16.776,7.589,7.54,4.394,4.414
