Video,Start,End,gsrStart,gsrEnd,ValenceStart,ValenceEnd,ArousalStart,ArousalEnd
5,765756,770756,4.952,4.98,5.0,5.0,5.011,5.0
5,770756,775756,4.98,5.015,5.0,5.599,5.0,4.734
5,775756,780756,5.015,5.027,5.599,5.802,4.734,4.54
5,780756,785757,5.027,5.007,5.802,6.521,4.54,4.573
5,785757,790756,5.007,4.992,6.521,6.922,4.573,4.716
5,790756,795757,4.992,4.956,6.922,7.057,4.716,5.414
5,795757,800757,4.956,4.972,7.057,7.275,5.414,5.646
5,800757,805758,4.972,4.936,7.275,7.038,5.646,5.687
5,805758,810757,4.936,4.905,7.038,7.038,5.687,5.687
5,810757,815758,4.905,4.909,7.038,7.04,5.687,5.687
5,815758,820758,4.909,4.897,7.04,6.018,5.687,5.896
5,820758,825758,4.897,4.877,6.018,4.787,5.896,5.502
5,825758,830758,4.877,4.865,4.787,4.561,5.502,5.529
5,830758,835759,4.865,4.826,4.561,4.288,5.529,5.554
5,835759,840759,4.826,4.826,4.288,4.376,5.554,5.652
5,840759,845759,4.826,4.814,4.376,5.129,5.652,6.01
5,845759,850759,4.814,4.81,5.129,5.184,6.01,6.157
5,850759,855760,4.81,4.814,5.184,5.189,6.157,6.161
5,855760,860759,4.814,4.763,5.189,5.189,6.161,6.161
5,860759,865760,4.763,4.783,5.189,5.189,6.161,6.161
5,865760,870760,4.783,4.755,5.189,5.162,6.161,6.192
5,870760,875761,4.755,4.751,5.162,4.214,6.192,6.291
5,875761,880760,4.751,4.759,4.214,4.187,6.291,6.291
5,880760,885761,4.759,4.735,4.187,4.095,6.291,6.291
5,885761,890761,4.735,4.727,4.095,4.05,6.291,6.288
5,890761,895761,4.727,4.704,4.05,4.045,6.288,6.278
5,895761,900761,4.704,4.68,4.045,3.886,6.278,6.272
5,900761,905762,4.68,4.649,3.886,3.795,6.272,6.27
5,905762,910762,4.649,4.656,3.795,3.727,6.27,6.251
