Video,Start,End,gsrStart,gsrEnd,ValenceStart,ValenceEnd,ArousalStart,ArousalEnd
4,1611657,1616657,25.15,25.524,5.0,5.0,5.0,5.0
4,1616657,1621657,25.524,25.024,5.0,4.726,5.0,5.171
4,1621657,1626658,25.024,24.842,4.726,4.338,5.171,5.24
4,1626658,1631657,24.842,24.665,4.338,4.776,5.24,3.896
4,1631657,1636658,24.665,24.511,4.776,4.83,3.896,3.844
4,1636658,1641658,24.511,24.365,4.83,5.053,3.844,4.111
4,1641658,1646659,24.365,24.192,5.053,5.253,4.111,4.095
4,1646659,1651658,24.192,24.385,5.253,5.351,4.095,4.238
4,1651658,1656659,24.385,24.413,5.351,5.4,4.238,4.147
4,1656659,1661659,24.413,24.275,5.4,5.67,4.147,3.965
4,1661659,1666659,24.275,24.105,5.67,5.728,3.965,3.711
4,1666659,1671659,24.105,23.932,5.728,5.803,3.711,3.733
4,1671659,1676660,23.932,23.75,5.803,5.789,3.733,4.197
4,1676660,1681660,23.75,23.652,5.789,5.85,4.197,4.156
4,1681660,1686660,23.652,23.522,5.85,5.822,4.156,3.768
4,1686660,1691660,23.522,23.38,5.822,5.526,3.768,3.682
4,1691660,1696661,23.38,23.19,5.526,5.385,3.682,3.521
4,1696661,1701660,23.19,24.05,5.385,5.382,3.521,3.499
4,1701660,1706661,24.05,23.77,5.382,5.356,3.499,3.464
4,1706661,1711661,23.77,23.612,5.356,5.555,3.464,3.464
4,1711661,1716662,23.612,23.423,5.555,5.496,3.464,3.395
4,1716662,1721661,23.423,23.147,5.496,5.12,3.395,3.372
4,1721661,1726662,23.147,22.962,5.12,5.133,3.372,3.384
4,1726662,1731662,22.962,22.879,5.133,5.235,3.384,3.568
4,1731662,1736662,22.879,22.635,5.235,5.236,3.568,3.8
4,1736662,1741662,22.635,22.5,5.236,5.24,3.8,3.846
4,1741662,1746663,22.5,22.311,5.24,5.24,3.846,4.14
4,1746663,1751663,22.311,22.236,5.24,5.19,4.14,3.707
4,1751663,1756663,22.236,22.071,5.19,5.19,3.707,3.742
4,1756663,1761663,22.071,21.893,5.19,5.19,3.742,4.086
4,1761663,1766664,21.893,21.708,5.19,5.19,4.086,3.839
4,1766664,1771663,21.708,21.59,5.19,5.19,3.839,4.258
