Video,Start,End,gsrStart,gsrEnd,ValenceStart,ValenceEnd,ArousalStart,ArousalEnd
4,1907749,1912748,27.543,27.476,5.0,5.0,5.057,5.057
4,1912748,1917749,27.476,27.062,5.0,5.0,5.057,5.057
4,1917749,1922749,27.062,26.774,5.0,5.0,5.057,5.057
4,1922749,1927750,26.774,26.613,5.0,5.0,5.057,5.057
4,1927750,1932749,26.613,26.147,5.0,5.0,5.057,5.057
4,1932749,1937750,26.147,25.974,5.0,5.0,5.057,5.057
4,1937750,1942750,25.974,25.97,5.0,5.0,5.057,5.057
4,1942750,1947750,25.97,25.576,5.0,5.0,5.057,5.057
4,1947750,1952750,25.576,25.375,5.0,5.0,5.057,5.057
4,1952750,1957751,25.375,25.272,5.0,5.916,5.057,5.262
4,1957751,1962751,25.272,25.524,5.916,5.747,5.262,5.413
4,1962751,1967751,25.524,25.603,5.747,5.734,5.413,5.448
4,1967751,1972751,25.603,25.308,5.734,5.75,5.448,5.491
4,1972751,1977752,25.308,25.177,5.75,5.75,5.491,5.493
4,1977752,1982751,25.177,24.831,5.75,5.757,5.493,5.498
4,1982751,1987752,24.831,24.921,5.757,5.835,5.498,5.515
4,1987752,1992752,24.921,24.484,5.835,5.951,5.515,5.544
4,1992752,1997753,24.484,24.168,5.951,6.015,5.544,5.552
4,1997753,2002752,24.168,24.18,6.015,5.0,5.552,5.0
4,2002752,2007753,24.18,23.904,5.0,5.0,5.0,5.0
4,2007753,2012753,23.904,23.679,5.0,5.0,5.0,5.0
4,2012753,2017753,23.679,23.328,5.0,5.0,5.0,5.0
4,2017753,2022753,23.328,23.403,5.0,5.0,5.0,5.0
4,2022753,2027754,23.403,23.127,5.0,5.0,5.0,5.0
4,2027754,2032754,23.127,22.812,5.0,5.0,5.0,5.0
4,2032754,2037754,22.812,22.658,5.0,5.0,5.0,5.0
4,2037754,2042754,22.658,22.382,5.0,5.0,5.0,5.0
4,2042754,2047755,22.382,22.201,5.0,5.072,5.0,3.936
4,2047755,2052754,22.201,22.209,5.072,5.072,3.936,4.077
4,2052754,2057755,22.209,21.933,5.072,5.072,4.077,4.095
4,2057755,2062755,21.933,21.795,5.072,5.072,4.095,4.095
4,2062755,2067756,21.795,21.609,5.072,5.072,4.095,4.101
