Video,Start,End,gsrStart,gsrEnd,ValenceStart,ValenceEnd,ArousalStart,ArousalEnd
2,2158530,2163530,14.383,14.316,5.149,5.262,2.813,3.125
2,2163530,2168530,14.316,14.288,5.262,5.285,3.125,3.189
2,2168530,2173531,14.288,14.245,5.285,5.376,3.189,3.274
2,2173531,2178531,14.245,14.197,5.376,5.395,3.274,3.304
2,2178531,2183531,14.197,14.154,5.395,5.395,3.304,3.304
2,2183531,2188531,14.154,14.099,5.395,5.328,3.304,3.197
2,2188531,2193532,14.099,14.059,5.328,5.287,3.197,3.148
2,2193532,2198531,14.059,14.012,5.287,5.286,3.148,3.148
2,2198531,2203532,14.012,13.969,5.286,5.286,3.148,3.148
2,2203532,2208532,13.969,13.969,5.286,5.286,3.148,3.148
2,2208532,2213533,13.969,13.945,5.286,5.286,3.148,3.17
2,2213533,2218532,13.945,13.854,5.286,5.226,3.17,3.834
2,2218532,2223533,13.854,13.827,5.226,5.226,3.834,4.081
2,2223533,2228533,13.827,13.807,5.226,5.27,4.081,4.198
2,2228533,2233533,13.807,13.736,5.27,5.633,4.198,4.884
2,2233533,2238533,13.736,13.732,5.633,5.726,4.884,4.858
2,2238533,2243534,13.732,13.701,5.726,5.726,4.858,4.863
2,2243534,2248534,13.701,13.705,5.726,5.726,4.863,4.864
2,2248534,2253534,13.705,13.638,5.726,5.726,4.864,4.869
2,2253534,2258534,13.638,13.586,5.726,6.156,4.869,5.266
2,2258534,2263535,13.586,13.575,6.156,6.589,5.266,5.603
2,2263535,2268534,13.575,13.606,6.589,6.654,5.603,5.603
2,2268534,2273534,13.606,13.61,6.654,6.669,5.603,5.603
2,2273534,2278534,13.61,13.661,6.669,6.849,5.603,5.654
2,2278534,2283535,13.661,13.748,6.849,7.252,5.654,5.932
2,2283535,2288534,13.748,13.657,7.252,7.899,5.932,6.012
2,2288534,2293535,13.657,13.697,7.899,7.938,6.012,6.04
2,2293535,2298535,13.697,13.736,7.938,8.371,6.04,6.518
2,2298535,2303535,13.736,13.787,8.371,8.371,6.518,6.496
2,2303535,2308535,13.787,13.831,8.371,8.371,6.496,6.452
2,2308535,2313536,13.831,13.799,8.371,7.905,6.452,5.66
2,2313536,2318536,13.799,13.819,7.905,7.29,5.66,4.766
2,2318536,2323536,13.819,13.847,7.29,7.279,4.766,4.534
2,2323536,2328536,13.847,13.807,7.279,5.31,4.534,4.675
