Video,Start,End,gsrStart,gsrEnd,ValenceStart,ValenceEnd,ArousalStart,ArousalEnd
2,1614665,1619665,25.453,27.153,5.0,5.0,5.125,5.0
2,1619665,1624665,27.153,28.166,5.0,6.893,5.0,4.928
2,1624665,1629665,28.166,29.021,6.893,6.862,4.928,4.88
2,1629665,1634664,29.021,29.317,6.862,6.862,4.88,4.718
2,1634664,1639664,29.317,28.809,6.862,6.862,4.718,4.701
2,1639664,1644664,28.809,28.548,6.862,6.862,4.701,4.666
2,1644664,1649663,28.548,28.162,6.862,6.816,4.666,4.655
2,1649663,1654663,28.162,28.146,6.816,7.204,4.655,5.56
2,1654663,1659663,28.146,28.631,7.204,7.296,5.56,5.596
2,1659663,1664663,28.631,28.253,7.296,7.345,5.596,5.69
2,1664663,1669662,28.253,27.854,7.345,7.41,5.69,5.246
2,1669662,1674662,27.854,28.036,7.41,7.402,5.246,5.065
2,1674662,1679662,28.036,27.701,7.402,7.288,5.065,5.001
2,1679662,1684661,27.701,27.732,7.288,7.288,5.001,4.995
2,1684661,1689661,27.732,27.468,7.288,7.018,4.995,4.961
2,1689661,1694661,27.468,28.087,7.018,7.491,4.961,4.982
2,1694661,1699661,28.087,27.768,7.491,7.169,4.982,4.935
2,1699661,1704660,27.768,27.602,7.169,7.169,4.935,4.955
2,1704660,1709660,27.602,27.133,7.169,7.169,4.955,5.032
2,1709660,1714660,27.133,27.799,7.169,7.191,5.032,5.084
2,1714660,1719659,27.799,27.582,7.191,7.2,5.084,5.084
2,1719659,1724659,27.582,28.651,7.2,7.22,5.084,5.084
2,1724659,1729659,28.651,28.261,7.22,7.362,5.084,5.084
2,1729659,1734659,28.261,27.799,7.362,7.393,5.084,5.097
2,1734659,1739658,27.799,27.78,7.393,7.616,5.097,5.154
2,1739658,1744658,27.78,27.862,7.616,7.616,5.154,5.182
2,1744658,1749658,27.862,28.564,7.616,7.63,5.182,5.204
2,1749658,1754657,28.564,28.178,7.63,7.984,5.204,5.204
2,1754657,1759657,28.178,28.627,7.984,7.984,5.204,5.22
2,1759657,1764657,28.627,29.29,7.984,7.999,5.22,5.22
2,1764657,1769657,29.29,29.64,7.999,8.485,5.22,5.103
2,1769657,1774656,29.64,29.124,8.485,8.017,5.103,5.091
2,1774656,1779656,29.124,28.738,8.017,8.485,5.091,5.102
2,1779656,1784656,28.738,29.392,8.485,8.293,5.102,5.028
