Window,Mean Valence,Max Valence,Min Valence,Median Valence,Mean Arousal,Max Arousal,Min Arousal,Median Arousal
1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
2,5.045574257425741,5.065,5.0,5.057,5.0,5.0,5.0,5.0
3,5.0649999999999995,5.065,5.065,5.065,4.996960396039604,5.0,4.985,5.0
4,5.016534653465348,5.065,5.0,5.0,4.99509900990099,5.0,4.985,5.0
5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
6,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
7,5.524732673267327,7.344,5.0,5.062,4.92810891089109,5.0,4.783,4.961
8,7.797910891089108,8.024,7.344,7.75,5.043712871287129,5.094,4.894,5.08
9,7.7551287128712865,7.765,7.75,7.751,5.048752475247525,5.094,5.023,5.041
10,7.764999999999999,7.765,7.765,7.765,5.023,5.023,5.023,5.023
11,7.764999999999999,7.765,7.765,7.765,5.008762376237624,5.03,4.985,5.012
12,7.764999999999999,7.765,7.765,7.765,4.985,4.985,4.985,4.985
13,7.764999999999999,7.765,7.765,7.765,4.985,4.985,4.985,4.985
14,7.764999999999999,7.765,7.765,7.765,4.985,4.985,4.985,4.985
15,7.764999999999999,7.765,7.765,7.765,4.985,4.985,4.985,4.985
16,7.764999999999999,7.765,7.765,7.765,4.984584158415841,4.985,4.984,4.985
17,7.764999999999999,7.765,7.765,7.765,4.984,4.984,4.984,4.984
18,7.764999999999999,7.765,7.765,7.765,4.983217821782177,4.984,4.983,4.983
19,7.764999999999999,7.765,7.765,7.765,4.982999999999999,4.983,4.983,4.983
20,7.764999999999999,7.765,7.765,7.765,4.982999999999999,4.983,4.983,4.983
21,7.764999999999999,7.765,7.765,7.765,4.982999999999999,4.983,4.983,4.983
22,7.764999999999999,7.765,7.765,7.765,4.982999999999999,4.983,4.983,4.983
23,7.764999999999999,7.765,7.765,7.765,4.982999999999999,4.983,4.983,4.983
24,7.7632772277227735,7.765,7.76,7.763,4.982999999999999,4.983,4.983,4.983
25,7.76,7.76,7.76,7.76,4.982999999999999,4.983,4.983,4.983
26,7.76,7.76,7.76,7.76,4.982999999999999,4.983,4.983,4.983
27,7.76,7.76,7.76,7.76,4.982999999999999,4.983,4.983,4.983
28,7.76,7.76,7.76,7.76,4.982999999999999,4.983,4.983,4.983
29,7.77469306930693,7.925,7.76,7.76,4.97610891089109,4.983,4.934,4.983
30,8.226554455445545,8.352,7.925,8.31,4.9365544554455445,4.937,4.934,4.937
31,8.345830000000003,8.352,8.339,8.345,4.937,4.937,4.937,4.937
32,8.330792079207919,8.339,8.305,8.335,4.937,4.937,4.937,4.937
33,8.177811881188118,8.305,7.513,8.296,4.937,4.937,4.937,4.937
34,7.215138613861385,7.513,7.13,7.17,5.009871287128713,5.094,4.851,5.016
35,7.0652277227722795,7.13,7.028,7.037,5.10538613861386,5.108,5.094,5.108
36,7.026574257425742,7.028,7.025,7.027,5.108722772277227,5.109,5.108,5.109
37,7.0249999999999995,7.025,7.025,7.025,5.122702970297028,5.126,5.109,5.126
38,7.025,7.025,7.025,7.025,5.1259999999999994,5.126,5.126,5.126
