Window,Mean Valence,Max Valence,Min Valence,Median Valence,Mean Arousal,Max Arousal,Min Arousal,Median Arousal
1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
2,5.027831683168316,5.069,5.0,5.0,5.0,5.0,5.0,5.0
3,5.092990099009901,5.094,5.069,5.094,5.0,5.0,5.0,5.0
4,5.043415841584159,5.099,5.0,5.0,5.0,5.0,5.0,5.0
5,5.024722772277226,5.056,5.0,5.0,5.0,5.0,5.0,5.0
6,5.055999999999998,5.056,5.056,5.056,5.0,5.0,5.0,5.0
7,5.042237623762376,5.056,5.0,5.056,5.0,5.0,5.0,5.0
8,4.976099009900989,5.0,4.835,5.0,5.0,5.0,5.0,5.0
9,4.65271287128713,4.835,4.475,4.645,5.101475247524751,5.15,5.0,5.139
10,4.460821782178218,4.475,4.38,4.475,5.059534653465348,5.131,5.008,5.048
11,4.380000000000001,4.38,4.38,4.38,5.128079207920794,5.136,5.073,5.136
12,4.350980198019801,4.38,3.778,4.376,5.2199900990099,5.391,5.136,5.136
13,3.4080594059405924,3.778,3.126,3.456,5.239356435643565,5.362,5.171,5.253
14,2.9977227722772293,3.126,2.946,2.986,5.178039603960397,5.197,5.171,5.171
15,2.9460000000000015,2.946,2.946,2.946,5.209495049504952,5.212,5.197,5.212
16,2.946653465346535,2.95,2.946,2.946,5.212000000000001,5.212,5.212,5.212
17,2.962841584158416,2.973,2.95,2.967,5.212000000000001,5.212,5.212,5.212
18,2.987445544554455,2.991,2.973,2.988,5.212000000000001,5.212,5.212,5.212
19,3.0032277227722775,3.007,2.991,3.006,5.212000000000001,5.212,5.212,5.212
20,3.007029702970297,3.008,3.007,3.007,5.212000000000001,5.212,5.212,5.212
21,3.0105643564356432,3.027,3.008,3.009,5.212000000000001,5.212,5.212,5.212
22,2.952366336633664,3.193,2.624,2.984,5.192831683168317,5.347,4.996,5.212
23,3.0573069306930685,3.067,3.016,3.066,5.670188118811881,5.982,5.347,5.629
24,3.072821782178218,3.09,3.067,3.071,5.783950495049504,5.934,5.658,5.794
25,3.19269306930693,3.264,3.09,3.195,5.496435643564356,5.658,5.428,5.488
26,3.1232277227722762,3.229,2.913,3.229,5.38908910891089,5.428,5.342,5.406
27,2.9839999999999995,2.984,2.984,2.984,5.341999999999999,5.342,5.342,5.342
28,2.671544554455446,2.984,1.883,2.889,5.760950495049506,6.782,5.067,5.456
29,2.5993267326732665,3.394,2.15,2.342,6.970742574257425,7.293,6.782,6.985
30,2.3611980198019804,2.598,2.278,2.368,6.87619801980198,6.993,6.802,6.852
31,2.4952574257425746,2.598,1.863,2.57,6.851534653465344,7.074,6.791,6.824
32,2.600475247524752,2.709,2.543,2.57,7.117831683168319,7.476,6.787,7.074
33,4.092029702970296,6.178,2.709,3.528,6.636277227722775,7.571,5.579,6.89
34,6.617346534653469,6.758,6.178,6.633,5.732821782178217,5.967,5.621,5.73
35,7.0443465346534655,7.826,6.758,6.827,5.671069306930694,5.845,5.607,5.621
36,7.997722772277228,8.612,7.786,7.874,5.861742574257426,6.015,5.741,5.806
37,8.033504950495047,8.039,7.883,8.038,5.846990099009902,5.873,5.846,5.846
38,8.031636363636366,8.035,8.028,8.033,5.846000000000001,5.846,5.846,5.846
