Window,Mean Valence,Max Valence,Min Valence,Median Valence,Mean Arousal,Max Arousal,Min Arousal,Median Arousal
1,5.980930693069308,7.656,5.0,5.63,4.959158415841584,5.0,4.88,4.969
2,7.57505940594059,7.867,7.478,7.506,4.980643564356436,4.981,4.969,4.981
3,7.447089108910892,7.556,7.403,7.448,5.035366336633665,5.276,4.981,4.981
4,7.659435643564354,7.669,7.556,7.669,5.540386138613863,5.603,5.276,5.569
5,7.657930693069306,7.885,7.587,7.669,5.662386138613862,6.087,5.542,5.587
6,7.8287425742574275,7.999,7.769,7.774,6.322950495049503,6.395,6.087,6.381
7,8.196519999999998,8.372,7.769,8.341,6.4979599999999955,6.526,6.395,6.526
8,8.340999999999998,8.341,8.341,8.341,6.525999999999995,6.526,6.526,6.526
9,8.185445544554453,8.341,8.152,8.168,6.436405940594059,6.526,6.385,6.408
10,8.162366336633664,8.173,8.156,8.156,6.384999999999999,6.385,6.385,6.385
11,8.292396039603961,8.323,8.173,8.323,6.449772277227724,6.519,6.385,6.434
12,8.171673267326735,8.288,8.008,8.263,6.485544554455444,6.556,6.321,6.519
13,7.830128712871287,8.049,7.633,7.796,6.535425742574261,6.594,6.482,6.54
14,7.826999999999999,7.827,7.827,7.827,6.450851485148516,6.493,6.419,6.444
15,7.818383838383838,7.827,7.815,7.815,6.395494949494947,6.419,6.391,6.391
16,7.815000000000001,7.815,7.815,7.815,6.390999999999997,6.391,6.391,6.391
17,7.815000000000001,7.815,7.815,7.815,6.390999999999997,6.391,6.391,6.391
18,7.815000000000001,7.815,7.815,7.815,6.390999999999997,6.391,6.391,6.391
19,7.815000000000001,7.815,7.815,7.815,6.390999999999997,6.391,6.391,6.391
20,7.815000000000001,7.815,7.815,7.815,6.375425742574261,6.391,6.364,6.365
21,7.823851485148512,7.858,7.815,7.815,6.341653465346534,6.364,6.295,6.35
22,7.876178217821783,7.879,7.858,7.879,6.273198019801978,6.295,6.27,6.27
23,7.887009900990098,7.896,7.879,7.887,6.269999999999998,6.27,6.27,6.27
24,7.895999999999997,7.896,7.896,7.896,6.271544554455446,6.274,6.27,6.27
25,7.895999999999997,7.896,7.896,7.896,6.274,6.274,6.274,6.274
26,7.886188118811882,7.896,7.767,7.896,6.289564356435641,6.496,6.273,6.273
27,7.75739603960396,7.831,7.565,7.79,6.602178217821785,6.747,6.4,6.601
28,7.6810495049504945,7.693,7.679,7.679,6.713287128712873,6.761,6.572,6.719
29,7.9645643564356465,8.315,7.679,8.012,6.720118811881189,6.734,6.719,6.719
30,8.385386138613864,8.456,8.315,8.382,6.765683168316829,6.785,6.734,6.767
31,8.46180198019802,8.465,8.456,8.46,6.785099009900986,6.786,6.785,6.785
32,8.459,8.459,8.459,8.459,6.788970297029702,6.789,6.786,6.789
33,8.452049504950496,8.459,8.445,8.457,6.671148514851485,6.789,6.568,6.632
34,8.445,8.445,8.445,8.445,6.639000000000001,6.639,6.639,6.639
35,8.438178217821783,8.445,8.438,8.438,6.5505148514851514,6.639,6.474,6.526
36,8.40579207920792,8.438,8.332,8.42,6.436792079207921,6.474,6.38,6.443
37,8.345000000000002,8.391,8.325,8.329,6.322920792079208,6.38,6.27,6.29
38,8.321000000000002,8.325,8.317,8.32,6.26025,6.27,6.247,6.262
