Video,Start,End,ValenceStart,ValenceEnd,ArousalStart,ArousalEnd,gsrStart,gsrEnd,sktStart,sktEnd,bvpStart,bvpEnd,rspStart,rspEnd,emg_zygoStart,emg_zygoEnd,emg_coruStart,emg_coruEnd,emg_trapStart,emg_trapEnd
7,1030908,1035907,5.0,5.357,5.0,5.47,20.92,20.789,25.144,25.151,35.615,37.175,32.15,30.63,4.701,5.933,7.042,6.837,6.097,5.851
7,1035907,1040908,5.357,6.709,5.47,5.955,20.789,20.608,25.151,25.151,37.175,37.504,30.63,31.104,5.933,5.194,6.837,7.206,5.851,6.343
7,1040908,1045908,6.709,5.735,5.955,5.544,20.608,20.431,25.151,25.133,37.504,37.262,31.104,32.198,5.194,4.988,7.206,7.165,6.343,6.467
7,1045908,1050909,5.735,6.144,5.544,5.879,20.431,20.147,25.133,25.13,37.262,37.243,32.198,31.298,4.988,4.783,7.165,7.617,6.467,6.097
7,1050909,1055908,6.144,6.095,5.879,5.629,20.147,19.973,25.13,25.144,37.243,36.429,31.298,32.498,4.783,4.906,7.617,7.411,6.097,6.343
7,1055908,1060909,6.095,5.123,5.629,4.625,19.973,19.764,25.144,25.105,36.429,35.635,32.498,30.611,4.906,4.742,7.411,7.247,6.343,9.547
7,1060909,1065909,5.123,5.056,4.625,3.897,19.764,19.666,25.105,25.112,35.635,37.737,30.611,31.811,4.742,4.824,7.247,7.534,9.547,6.302
7,1065909,1070909,5.056,5.026,3.897,2.548,19.666,19.599,25.112,25.116,37.737,37.562,31.811,30.853,4.824,4.947,7.534,7.288,6.302,6.549
7,1070909,1075909,5.026,5.002,2.548,5.0,19.599,20.237,25.116,25.105,37.562,35.79,30.853,31.521,4.947,4.988,7.288,7.411,6.549,7.001
7,1075909,1080910,5.002,5.794,5.0,6.329,20.237,20.529,25.105,25.102,35.79,36.826,31.521,31.801,4.988,4.947,7.411,7.329,7.001,6.508
7,1080910,1085910,5.794,6.642,6.329,6.463,20.529,21.125,25.102,25.091,36.826,35.867,31.801,30.785,4.947,6.138,7.329,6.426,6.508,6.262
7,1085910,1090910,6.642,7.439,6.463,7.646,21.125,21.085,25.091,25.095,35.867,35.015,30.785,30.514,6.138,36.241,6.426,6.754,6.262,13.531
7,1090910,1095910,7.439,5.276,7.646,7.668,21.085,32.85,25.095,25.081,35.015,35.596,30.514,33.011,36.241,32.175,6.754,6.343,13.531,6.795
7,1095910,1100911,5.276,4.375,7.668,9.066,32.85,36.047,25.081,25.091,35.596,37.717,33.011,30.775,32.175,45.276,6.343,7.329,6.795,6.59
7,1100911,1105910,4.375,4.186,9.066,9.5,36.047,37.711,25.091,25.091,37.717,38.889,30.775,31.617,45.276,16.734,7.329,6.426,6.59,6.385
7,1105910,1110911,4.186,3.945,9.5,9.415,37.711,37.151,25.091,25.088,38.889,37.523,31.617,31.424,16.734,17.925,6.426,6.385,6.385,6.919
7,1110911,1115911,3.945,3.538,9.415,9.5,37.151,38.381,25.088,25.074,37.523,36.671,31.424,31.424,17.925,7.165,6.385,6.302,6.919,6.467
7,1115911,1120912,3.538,3.702,9.5,9.183,38.381,36.307,25.074,25.053,36.671,36.981,31.424,31.482,7.165,5.851,6.302,6.138,6.467,6.59
7,1120912,1125911,3.702,3.864,9.183,8.657,36.307,35.984,25.053,25.067,36.981,37.107,31.482,33.321,5.851,5.933,6.138,6.179,6.59,6.22
7,1125911,1130912,3.864,3.767,8.657,8.711,35.984,36.031,25.067,25.039,37.107,36.991,33.321,31.675,5.933,5.81,6.179,6.672,6.22,6.343
