Video,Start,End,ValenceStart,ValenceEnd,ArousalStart,ArousalEnd,gsrStart,gsrEnd,sktStart,sktEnd,bvpStart,bvpEnd,rspStart,rspEnd,emg_zygoStart,emg_zygoEnd,emg_coruStart,emg_coruEnd,emg_trapStart,emg_trapEnd
1,1042325,1047325,5.0,6.01,5.0,4.924,29.597,31.131,24.569,24.569,36.419,36.429,32.895,31.056,4.619,14.845,6.179,6.262,21.21,11.723
1,1047325,1052324,6.01,6.673,4.924,5.467,31.131,31.844,24.569,24.551,36.429,34.744,31.056,31.075,14.845,14.352,6.262,6.015,11.723,24.947
1,1052324,1057323,6.673,6.912,5.467,5.555,31.844,31.249,24.551,24.541,34.744,36.448,31.075,32.74,14.352,10.82,6.015,5.974,24.947,18.705
1,1057323,1062322,6.912,7.154,5.555,5.753,31.249,30.819,24.541,24.544,36.448,36.652,32.74,33.069,10.82,11.929,5.974,6.097,18.705,18.294
1,1062322,1067322,7.154,7.28,5.753,6.002,30.819,30.354,24.544,24.541,36.652,36.042,33.069,31.869,11.929,12.586,6.097,6.138,18.294,13.448
1,1067322,1072322,7.28,7.439,6.002,5.909,30.354,29.972,24.541,24.541,36.042,36.497,31.869,31.956,12.586,9.259,6.138,6.056,13.448,18.171
1,1072322,1077320,7.439,7.488,5.909,4.891,29.972,29.558,24.541,24.52,36.497,36.574,31.956,32.401,9.259,7.329,6.056,6.179,18.171,16.693
1,1077320,1082319,7.488,7.503,4.891,4.906,29.558,28.947,24.52,24.502,36.574,36.032,32.401,31.743,7.329,9.547,6.179,5.974,16.693,21.949
1,1082319,1087319,7.503,7.503,4.906,4.906,28.947,28.939,24.502,24.502,36.032,36.816,31.743,31.066,9.547,10.204,5.974,6.138,21.949,17.021
1,1087319,1092317,7.503,7.503,4.906,4.906,28.939,28.497,24.502,24.495,36.816,36.555,31.066,31.25,10.204,25.933,6.138,6.672,17.021,19.157
1,1092317,1097317,7.503,8.173,4.906,5.14,28.497,29.384,24.495,24.492,36.555,36.768,31.25,31.25,25.933,26.837,6.672,6.877,19.157,14.188
1,1097317,1102316,8.173,8.199,5.14,5.184,29.384,29.14,24.492,24.478,36.768,36.468,31.25,31.559,26.837,10.04,6.877,6.056,14.188,15.255
1,1102316,1107316,8.199,8.187,5.184,5.218,29.14,28.588,24.478,24.467,36.468,36.419,31.559,31.037,10.04,7.452,6.056,6.097,15.255,16.775
1,1107316,1112314,8.187,8.169,5.218,5.049,28.588,28.434,24.467,24.471,36.419,36.545,31.037,31.085,7.452,27.206,6.097,6.713,16.775,14.393
1,1112314,1117314,8.169,8.441,5.049,5.125,28.434,28.367,24.471,24.471,36.545,37.204,31.085,31.201,27.206,12.545,6.713,6.262,14.393,18.294
1,1117314,1122313,8.441,8.65,5.125,4.708,28.367,28.521,24.471,24.446,37.204,36.594,31.201,31.269,12.545,14.27,6.262,6.056,18.294,16.323
1,1122313,1127312,8.65,8.673,4.708,4.528,28.521,28.087,24.446,24.439,36.594,35.819,31.269,31.337,14.27,13.859,6.056,6.262,16.323,11.477
1,1127312,1132311,8.673,8.68,4.528,4.528,28.087,28.075,24.439,24.439,35.819,36.332,31.337,32.769,13.859,12.75,6.262,6.056,11.477,14.27
1,1132311,1137311,8.68,8.695,4.528,4.528,28.075,27.535,24.439,24.411,36.332,36.051,32.769,32.314,12.75,18.828,6.056,6.343,14.27,19.937
1,1137311,1142310,8.695,8.733,4.528,4.539,27.535,27.551,24.411,24.429,36.051,36.419,32.314,30.678,18.828,27.576,6.343,7.411,19.937,19.444
1,1142310,1147309,8.733,8.766,4.539,4.703,27.551,28.257,24.429,24.408,36.419,36.071,30.678,32.469,27.576,13.777,7.411,6.015,19.444,15.091
1,1147309,1152308,8.766,8.805,4.703,4.574,28.257,29.325,24.408,24.408,36.071,36.158,32.469,31.995,13.777,12.134,6.015,6.056,15.091,11.723
1,1152308,1157308,8.805,8.805,4.574,4.576,29.325,28.907,24.408,24.404,36.158,36.245,31.995,32.547,12.134,12.627,6.056,6.056,11.723,17.678
1,1157308,1162306,8.805,8.805,4.576,4.576,28.907,28.28,24.404,24.404,36.245,36.962,32.547,32.566,12.627,14.722,6.056,6.138,17.678,14.393
1,1162306,1167306,8.805,9.059,4.576,4.63,28.28,29.562,24.404,24.39,36.962,37.252,32.566,31.017,14.722,14.598,6.138,6.22,14.393,14.064
1,1167306,1172305,9.059,9.059,4.63,4.631,29.562,29.116,24.39,24.383,37.252,35.974,31.017,31.966,14.598,19.28,6.22,6.549,14.064,15.091
1,1172305,1177305,9.059,8.214,4.631,4.55,29.116,28.986,24.383,24.373,35.974,35.751,31.966,32.74,19.28,11.231,6.549,6.015,15.091,13.448
1,1177305,1182303,8.214,8.791,4.55,4.852,28.986,29.991,24.373,24.369,35.751,36.826,32.74,30.224,11.231,46.508,6.015,8.109,13.448,13.325
1,1182303,1187303,8.791,8.882,4.852,5.076,29.991,31.34,24.369,24.362,36.826,36.565,30.224,30.601,46.508,35.871,8.109,7.863,13.325,17.76
1,1187303,1192302,8.882,8.882,5.076,5.268,31.34,30.744,24.362,24.359,36.565,36.322,30.601,29.962,35.871,36.652,7.863,8.356,17.76,10.45
1,1192302,1197301,8.882,8.847,5.268,5.846,30.744,31.009,24.359,24.352,36.322,36.477,29.962,31.201,36.652,31.641,8.356,7.452,10.45,13.161
1,1197301,1202300,8.847,8.847,5.846,5.708,31.009,32.045,24.352,24.345,36.477,36.526,31.201,30.243,31.641,45.646,7.452,7.494,13.161,9.136
1,1202300,1207300,8.847,8.834,5.708,5.726,32.045,31.438,24.345,24.338,36.526,36.787,30.243,31.221,45.646,24.085,7.494,6.877,9.136,14.023
1,1207300,1212349,8.834,8.757,5.726,5.638,31.438,30.67,24.338,24.334,36.787,36.012,31.221,31.579,24.085,19.527,6.877,6.22,14.023,9.834
1,1212349,1217348,8.757,8.757,5.638,5.81,30.67,30.677,24.334,24.331,36.012,37.107,31.579,31.734,19.527,21.169,6.22,6.96,9.834,12.75
