Video,Start,End,ValenceStart,ValenceEnd,ArousalStart,ArousalEnd,gsrStart,gsrEnd,sktStart,sktEnd,bvpStart,bvpEnd,rspStart,rspEnd,emg_zygoStart,emg_zygoEnd,emg_coruStart,emg_coruEnd,emg_trapStart,emg_trapEnd
1,730294,735295,6.168,6.714,7.972,7.798,14.489,14.639,30.399,30.581,34.85,36.526,37.425,36.96,5.194,5.522,8.109,7.986,19.321,18.992
1,735295,740295,6.714,6.689,7.798,7.786,14.639,14.832,30.581,30.697,36.526,36.187,36.96,37.009,5.522,6.015,7.986,8.438,18.992,21.374
1,740295,745294,6.689,6.66,7.786,7.667,14.832,14.864,30.697,30.764,36.187,36.681,37.009,37.386,6.015,7.288,8.438,7.74,21.374,20.224
1,745294,750294,6.66,6.511,7.667,7.778,14.864,14.887,30.764,30.788,36.681,36.226,37.386,38.238,7.288,6.015,7.74,8.027,20.224,22.935
1,750294,755295,6.511,6.492,7.778,7.778,14.887,14.895,30.788,30.781,36.226,34.957,38.238,37.803,6.015,5.604,8.027,7.494,22.935,20.101
1,755295,760294,6.492,7.083,7.778,7.322,14.895,14.915,30.781,30.778,34.957,37.707,37.803,37.115,5.604,12.298,7.494,8.109,20.101,18.294
1,760294,765295,7.083,8.109,7.322,6.931,14.915,14.82,30.778,30.764,37.707,36.293,37.115,37.319,12.298,18.787,8.109,7.945,18.294,20.101
1,765295,770295,8.109,7.984,6.931,6.842,14.82,14.761,30.764,30.757,36.293,34.889,37.319,37.861,18.787,15.338,7.945,7.001,20.101,21.005
1,770295,775296,7.984,7.972,6.842,6.861,14.761,14.828,30.757,30.725,34.889,35.121,37.861,38.683,15.338,18.459,7.001,7.37,21.005,18.5
1,775296,780295,7.972,9.007,6.861,6.226,14.828,14.887,30.725,30.704,35.121,38.182,38.683,37.967,18.459,13.49,7.37,7.945,18.5,17.596
1,780295,785296,9.007,8.996,6.226,6.226,14.887,14.97,30.704,30.673,38.182,36.816,37.967,38.354,13.49,39.034,7.945,7.329,17.596,17.514
1,785296,790296,8.996,8.975,6.226,6.226,14.97,15.124,30.673,30.651,36.816,35.286,38.354,38.722,39.034,8.397,7.329,6.179,17.514,17.637
1,790296,795296,8.975,8.904,6.226,6.226,15.124,15.033,30.651,30.62,35.286,35.548,38.722,36.931,8.397,14.105,6.179,7.206,17.637,22.442
1,795296,800296,8.904,8.875,6.226,6.226,15.033,15.002,30.62,30.574,35.548,34.976,36.931,38.035,14.105,13.613,7.206,9.834,22.442,20.019
1,800296,805297,8.875,8.866,6.226,6.226,15.002,15.002,30.574,30.532,34.976,34.288,38.035,39.158,13.613,9.136,9.834,7.288,20.019,19.075
1,805297,810297,8.866,8.725,6.226,6.299,15.002,14.919,30.532,30.494,34.288,38.608,39.158,37.222,9.136,7.124,7.288,7.781,19.075,18.664
1,810297,815297,8.725,8.635,6.299,6.097,14.919,14.931,30.494,30.462,38.608,36.865,37.222,39.216,7.124,7.74,7.781,8.109,18.664,19.937
1,815297,820297,8.635,8.633,6.097,6.178,14.931,14.86,30.462,30.431,36.865,40.855,39.216,39.642,7.74,8.027,8.109,6.508,19.937,17.555
1,820297,825298,8.633,8.619,6.178,6.178,14.86,14.745,30.431,30.396,40.855,37.504,39.642,37.667,8.027,9.547,6.508,7.288,17.555,27.987
1,825298,830297,8.619,8.601,6.178,6.181,14.745,14.686,30.396,30.371,37.504,36.497,37.667,39.177,9.547,7.822,7.288,7.329,27.987,21.334
1,830297,835298,8.601,8.384,6.181,7.269,14.686,14.726,30.371,30.364,36.497,36.196,39.177,38.635,7.822,12.381,7.329,6.713,21.334,19.896
1,835298,840298,8.384,8.357,7.269,7.26,14.726,14.805,30.364,30.364,36.196,35.218,38.635,37.396,12.381,7.699,6.713,8.726,19.896,18.869
1,840298,845299,8.357,8.173,7.26,6.996,14.805,14.769,30.364,30.357,35.218,35.063,37.396,39.148,7.699,11.723,8.726,7.822,18.869,18.664
1,845299,850298,8.173,8.303,6.996,6.94,14.769,14.659,30.357,30.332,35.063,34.211,39.148,40.319,11.723,18.5,7.822,8.069,18.664,18.91
1,850298,855299,8.303,8.259,6.94,6.966,14.659,14.694,30.332,30.329,34.211,36.894,40.319,38.48,18.5,11.436,8.069,7.534,18.91,18.664
1,855299,860299,8.259,6.642,6.966,7.351,14.694,14.611,30.329,30.304,36.894,38.046,38.48,36.815,11.436,29.999,7.534,11.149,18.664,19.567
1,860299,865299,6.642,7.152,7.351,8.004,14.611,14.576,30.304,30.276,38.046,37.892,36.815,39.322,29.999,6.22,11.149,10.327,19.567,18.623
1,865299,870299,7.152,5.875,8.004,7.701,14.576,14.434,30.276,30.283,37.892,37.698,39.322,38.538,6.22,6.015,10.327,9.916,18.623,19.896
1,870299,875300,5.875,5.669,7.701,7.844,14.434,14.414,30.283,30.29,37.698,40.516,38.538,37.464,6.015,7.083,9.916,8.233,19.896,21.703
