Video,Start,End,ValenceStart,ValenceEnd,ArousalStart,ArousalEnd,gsrStart,gsrEnd,sktStart,sktEnd,bvpStart,bvpEnd,rspStart,rspEnd,emg_zygoStart,emg_zygoEnd,emg_coruStart,emg_coruEnd,emg_trapStart,emg_trapEnd
1,1568907,1573907,5.0,5.0,5.0,5.264,33.745,33.264,26.094,26.087,35.16,36.681,33.631,34.966,5.03,5.07,9.136,8.89,71.149,29.999
1,1573907,1578907,5.0,4.824,5.264,6.103,33.264,32.743,26.087,26.073,36.681,35.664,34.966,34.599,5.07,4.988,8.89,8.274,29.999,31.847
1,1578907,1583907,4.824,4.87,6.103,6.17,32.743,32.791,26.073,26.076,35.664,35.896,34.599,34.289,4.988,4.906,8.274,8.644,31.847,33.202
1,1583907,1588908,4.87,4.87,6.17,6.17,32.791,32.42,26.076,26.059,35.896,35.993,34.289,35.044,4.906,4.865,8.644,7.945,33.202,28.561
1,1588908,1593907,4.87,4.87,6.17,6.17,32.42,32.168,26.059,26.048,35.993,36.351,35.044,36.031,4.865,4.783,7.945,7.617,28.561,19.609
1,1593907,1598908,4.87,5.541,6.17,6.03,32.168,31.884,26.048,26.041,36.351,37.62,36.031,34.018,4.783,4.783,7.617,7.165,19.609,28.561
1,1598908,1603908,5.541,5.443,6.03,5.531,31.884,31.73,26.041,26.031,37.62,35.693,34.018,35.131,4.783,4.701,7.165,9.177,28.561,32.093
1,1603908,1608909,5.443,5.718,5.531,5.604,31.73,31.45,26.031,26.027,35.693,37.117,35.131,34.937,4.701,4.824,9.177,9.259,32.093,22.976
1,1608909,1613908,5.718,5.705,5.604,5.284,31.45,31.143,26.027,26.02,37.117,36.826,34.937,34.541,4.824,4.865,9.259,7.822,22.976,17.966
1,1613908,1618909,5.705,6.484,5.284,5.892,31.143,30.776,26.02,26.006,36.826,38.066,34.541,34.763,4.865,5.07,7.822,8.315,17.966,15.173
1,1618909,1623909,6.484,6.493,5.892,6.933,30.776,30.492,26.006,25.996,38.066,36.642,34.763,35.005,5.07,5.563,8.315,9.177,15.173,31.518
1,1623909,1628909,6.493,6.493,6.933,6.942,30.492,30.2,25.996,26.003,36.642,35.364,35.005,34.221,5.563,5.604,9.177,9.916,31.518,25.769
1,1628909,1633909,6.493,6.493,6.942,6.942,30.2,29.889,26.003,25.985,35.364,35.983,34.221,35.46,5.604,5.687,9.916,8.15,25.769,26.262
1,1633909,1638910,6.493,6.539,6.942,6.882,29.889,29.506,25.985,25.985,35.983,36.545,35.46,34.637,5.687,5.44,8.15,9.095,26.262,18.007
